,rep,EncounterID,TrueEnc,Pelagic,NWHI,MHI,CorrectDW
test_nwhi37,38,N4,16,Ambiguous,Ambiguous,Ambiguous,72
test_mhi37,38,M1,34,Ambiguous,Ambiguous,Ambiguous,48
test_pel38,39,P5,5,Ambiguous,Ambiguous,Ambiguous,53
test_nwhi38,39,N4,16,Ambiguous,Ambiguous,Ambiguous,67
test_mhi38,39,M3,32,Ambiguous,Ambiguous,Ambiguous,71
test_pel39,40,P3,6,Ambiguous,Ambiguous,Ambiguous,65
test_nwhi39,40,N1,17,Ambiguous,Ambiguous,Ambiguous,34
test_mhi39,40,M2,31,Ambiguous,MHI,Ambiguous,73
test_pel40,41,P8,7,Pelagic,Ambiguous,Ambiguous,96
test_nwhi40,41,N2,14,Ambiguous,NWHI,Ambiguous,80
test_mhi40,41,M1,34,Ambiguous,Ambiguous,Ambiguous,46
test_pel41,42,P4,4,Ambiguous,Ambiguous,Ambiguous,51
test_nwhi41,42,N2,14,Ambiguous,NWHI,Ambiguous,75
test_mhi41,42,M4,33,Ambiguous,Ambiguous,MHI,98
test_pel42,43,P6,1,Ambiguous,Ambiguous,Ambiguous,63
test_nwhi42,43,N2,14,Ambiguous,Ambiguous,Ambiguous,53
test_mhi42,43,M3,32,Ambiguous,Ambiguous,MHI,80
test_pel43,44,P6,1,Ambiguous,Ambiguous,Ambiguous,60
test_nwhi43,44,N1,17,Ambiguous,Ambiguous,Ambiguous,39
test_mhi43,44,M1,34,Ambiguous,Ambiguous,Ambiguous,61
test_pel44,45,P2,3,Ambiguous,Ambiguous,Ambiguous,65
test_nwhi44,45,N2,14,Ambiguous,Ambiguous,Ambiguous,61
test_mhi44,45,M2,31,Ambiguous,Ambiguous,Ambiguous,72
test_pel45,46,P1,2,Ambiguous,Ambiguous,Ambiguous,52
test_nwhi45,46,N1,17,Ambiguous,Ambiguous,Ambiguous,35
test_mhi45,46,M4,33,Ambiguous,MHI,MHI,97
test_pel46,47,P7,8,Ambiguous,Ambiguous,Ambiguous,52
test_nwhi46,47,N1,17,Ambiguous,Ambiguous,Ambiguous,34
test_mhi46,47,M3,32,MHI,MHI,MHI,85
test_pel47,48,P5,5,Ambiguous,Ambiguous,Ambiguous,50
