,rep,EncounterID,TrueEnc,Pelagic,NWHI,CorrectDW
test_pel88,89,P3,6,Pelagic,Ambiguous,99
test_nwhi88,89,N4,16,Ambiguous,NWHI,97
test_pel89,90,P7,8,Ambiguous,Ambiguous,86
test_nwhi89,90,N3,15,Ambiguous,NWHI,96
test_pel90,91,P5,5,Ambiguous,Ambiguous,88
test_nwhi90,91,N4,16,Ambiguous,Ambiguous,73
test_pel91,92,P6,1,Pelagic,Ambiguous,104
test_nwhi91,92,N1,17,Ambiguous,Ambiguous,80
test_pel92,93,P3,6,Ambiguous,Ambiguous,71
test_nwhi92,93,N2,14,Ambiguous,Ambiguous,82
test_pel93,94,P7,8,Ambiguous,Ambiguous,85
test_nwhi93,94,N4,16,Ambiguous,NWHI,91
test_pel94,95,P3,6,Ambiguous,Ambiguous,70
test_nwhi94,95,N2,14,Ambiguous,Ambiguous,66
test_pel95,96,P8,7,Pelagic,Ambiguous,117
test_nwhi95,96,N2,14,Ambiguous,Ambiguous,81
test_pel96,97,P4,4,Ambiguous,Ambiguous,68
test_nwhi96,97,N1,17,Ambiguous,Ambiguous,67
test_pel97,98,P1,2,Pelagic,Ambiguous,99
test_nwhi97,98,N2,14,Ambiguous,Ambiguous,77
test_pel98,99,P6,1,Ambiguous,Ambiguous,67
test_nwhi98,99,N4,16,Ambiguous,Ambiguous,84
test_pel99,100,P4,4,Ambiguous,Ambiguous,81
test_nwhi99,100,N3,15,Ambiguous,NWHI,90
