,rep,EncounterID,TrueEnc,Pelagic,MHI,CorrectDW
test_pel85,86,P3,6,Ambiguous,Ambiguous,77
test_mhi85,86,M4,33,Ambiguous,MHI,116
test_pel86,87,P5,5,Pelagic,Ambiguous,106
test_mhi86,87,M1,34,Ambiguous,Ambiguous,81
test_pel87,88,P5,5,Pelagic,Ambiguous,100
test_mhi87,88,M3,32,Ambiguous,MHI,104
test_pel88,89,P3,6,Ambiguous,Ambiguous,79
test_mhi88,89,M4,33,Ambiguous,MHI,116
test_pel89,90,P7,8,Ambiguous,Ambiguous,59
test_mhi89,90,M3,32,MHI,MHI,108
test_pel90,91,P5,5,Pelagic,Ambiguous,97
test_mhi90,91,M4,33,Ambiguous,MHI,120
test_pel91,92,P6,1,Pelagic,Ambiguous,105
test_mhi91,92,M1,34,Ambiguous,Ambiguous,76
test_pel92,93,P3,6,Ambiguous,Ambiguous,66
test_mhi92,93,M2,31,Ambiguous,MHI,97
test_pel93,94,P7,8,Ambiguous,Ambiguous,59
test_mhi93,94,M4,33,MHI,MHI,112
test_pel94,95,P3,6,Ambiguous,Ambiguous,58
test_mhi94,95,M2,31,MHI,MHI,109
test_pel95,96,P8,7,Pelagic,Ambiguous,100
test_mhi95,96,M2,31,Ambiguous,MHI,109
test_pel96,97,P4,4,Pelagic,Ambiguous,103
test_mhi96,97,M1,34,Ambiguous,Ambiguous,76
test_pel97,98,P1,2,Pelagic,Ambiguous,94
test_mhi97,98,M2,31,Ambiguous,MHI,105
test_pel98,99,P6,1,Pelagic,Ambiguous,101
test_mhi98,99,M4,33,Ambiguous,MHI,104
test_pel99,100,P4,4,Pelagic,Ambiguous,90
test_mhi99,100,M3,32,Ambiguous,MHI,108
