"M2","M3","M4","M1","MeanDecreaseAccuracy","MeanDecreaseGini"
"REP",1,1,1,1,1,1
"FREQSTEPDOWN",0,0,0,0,0,0.0242178788868258
"FREQSTEPUP",6.45032283865808e-06,0,4.99900019996001e-06,-8.77105359936471e-05,-2.06940827323556e-05,0.0798660879130704
"FREQNUMSTEPS",0,4.73285999410588e-06,6.66533359994668e-06,-8.28805775517078e-05,-1.8082602948857e-05,0.0982670615894501
"NUMSWEEPSDWNUP",-0.000139945049739289,0.000767613193131998,-0.000265449659469365,-9.43402038508217e-05,6.38002016416067e-05,1.7516429751515
"FREQENDDWN",0.00332703138177515,0.000680659201938225,0.00386503673443776,-0.000444422909539184,0.00187001894260326,3.29076063322487
"FREQBEGUP",-0.000199492664465048,0.00111757409956123,-0.00132517350027817,0.00261719707303538,0.000545509834396899,3.83359193444375
"FREQBEGDWN",-0.000128880996056576,-0.000380515894302508,-0.000454379739074405,0.000787469110410462,-2.99540451590756e-05,3.86108428662065
"FREQENDUP",0.000386186359012625,0.00122903479501962,0.00199687117362865,0.00214116400661207,0.00143160419137122,4.78547012990777
"NUMSWEEPSUPDWN",-0.000652011849090651,0.002030021728415,0.000588409695862548,0.000690323787023762,0.000669043745354688,4.99923774458251
"INFLSTDDEVDELTA",0.00159917989264223,0.00337407216535358,0.000114250730014734,0.00024293608923989,0.00134270655654542,7.98286991495966
"NUMINFLECTIONS",-1.71276146086614e-05,0.0028336765250522,-0.000548319273129919,0.00151327224958695,0.000920975568889577,8.00765478324121
"INFLMAXMINDELTA",0.00234620033681724,0.00276293803530379,-0.00173505730613337,0.000906501514842469,0.00104529028363199,9.58053627076131
"INFLMEANDELTA",0.0012674950587448,-0.00166308858352276,-0.00168147221968252,0.00122784244324156,-0.000197892551270993,15.4165124365064
"FREQSLOPERATIO",0.00235270930015285,0.00315375830312733,0.00326379946319315,-0.00195937755928932,0.00168856868633565,18.1194435804772
"NUMSWEEPSFLATDWN",0.00756072225698224,0.00152592131311515,0.00993797181036249,0.0122661503786564,0.00770319480767773,18.8038372846337
"FREQNEGSLOPEMEAN",0.00360992237728171,-0.00212457589901206,0.00360937714923985,0.0114019398300794,0.00405195799633748,19.8008786677257
"NUMSWEEPSFLATUP",-3.82315579689479e-05,0.0105714418176506,0.00514239561031978,0.0198103877496604,0.00877326094488031,20.2843453452763
"FREQPOSSLOPEMEAN",0.000387347873656981,0.00550137900843593,-0.000106074107449569,0.0190147901938991,0.00614544680334036,23.2414010906483
"FREQSPREAD",-0.0049692752967392,0.0114481495625044,0.0153757758283966,0.0282256936004572,0.0124688256281751,24.8449211621215
"FREQSWEEPFLATPERCENT",0.00132589932715904,0.00224035544572111,0.0101174215823745,0.0149525361674049,0.00702389930342164,27.0229558164611
"FREQSWEEPDWNPERCENT",0.00504609804323015,0.00277419121548378,0.0105679916442514,0.01310170677498,0.00778091040854669,27.5200455512459
"FREQQUARTER3",0.00348480315852461,0.0161058222679899,0.0131021871465682,0.00868205776988871,0.0102747703979798,29.4380772611588
"FREQCOFM",0.000751759459237007,0.00394439015635571,0.0256464800319211,0.0750777160174119,0.0260421858276124,31.3181454754726
"DURATION",0.010617307782976,0.0115013369568154,0.000862956258267055,0.0575050444474987,0.0199349433716817,32.3149327778314
"REP1",2,2,2,2,2,2
"FREQSTEPDOWN1",0,0,0,0,0,0.0398813568641123
"FREQSTEPUP1",0,0,0,0,0,0.109866036865301
"FREQNUMSTEPS1",9.29860613893977e-06,-8.16000130560021e-06,9.75219668230269e-06,-3.27275776121679e-05,-4.58291292691141e-06,0.114839659670288
"NUMSWEEPSDWNUP1",-0.000392276046026038,1.91495008959439e-05,-0.000549172033127274,-0.00015639403528149,-0.000266362268621244,1.52873993200023
"FREQENDDWN1",0.00252509522571717,-0.00130815869448598,0.00453077859284644,0.00196549122267194,0.00193227463957205,3.54434064334798
"FREQBEGDWN1",0.000464290496196141,0.00116732344328173,-0.000567579333238857,0.00072975021132183,0.000428798001140029,3.70917651753006
"FREQBEGUP1",0.000649453959591954,0.00216570884260554,-0.000756674770262638,0.00353947306364934,0.00136986890092139,4.19901528276559
"FREQENDUP1",0.00121828168977828,0.000335387376311859,0.00102456193866833,0.00264807140353246,0.00132331134473209,4.24517430967833
"NUMSWEEPSUPDWN1",0.00143902653858348,0.0012916719442626,0.000251990275133445,0.00300627435801787,0.00150031924909421,4.73509190570373
"INFLSTDDEVDELTA1",0.00168521013553729,0.00285088948330663,0.000766658637646848,0.00182718677329272,0.00177022986050969,7.87432053093397
"NUMINFLECTIONS1",0.000615191673944719,0.00228681584280076,0.000699410324740845,0.000121542625655719,0.000867546306099548,7.92799155376363
"INFLMAXMINDELTA1",0.0018013094549472,0.000240957102793531,0.00130780186901447,-0.000387698447699378,0.000699815057934649,9.80551810375722
"INFLMEANDELTA1",0.00477921918047328,0.000149179336153542,-0.00292567635178213,0.00642029324073657,0.00213149661803124,16.4967082384918
"NUMSWEEPSFLATDWN1",0.0092381766228849,0.0026576276426279,0.00991934283339456,0.0144138945275405,0.00890378456692069,18.7718489195748
"NUMSWEEPSFLATUP1",-0.000907359216435691,0.0103641329378545,0.00954881680655126,0.0100773638782835,0.00719132057289987,19.1903818546035
"FREQSLOPERATIO1",-0.000824276116637684,0.00521768328091222,0.0077319901277418,0.00234015241218284,0.00361425479241525,19.2525826503384
"FREQNEGSLOPEMEAN1",0.00672307034842989,-0.00104178753274155,0.00253791125336127,0.0084142328946799,0.00413945655722674,19.4051006795705
"FREQPOSSLOPEMEAN1",0.000902347684191675,0.00451857432266936,0.00219844127475879,0.00748191313284844,0.00374037397622713,22.1722787255856
"FREQSPREAD1",-0.00168713400327532,0.0154730373697758,0.0265893908640608,0.00545411024464774,0.0113472692657802,23.8267811610695
"FREQSWEEPFLATPERCENT1",0.00413637124115351,0.0115434512692693,0.0155642319940081,0.00731483464163787,0.00949883338751289,28.3021631944239
"FREQQUARTER31",0.00493775352072649,0.00962051645081289,0.0194362043535783,0.00471430653133829,0.00970108468114678,28.4645174373112
"FREQSWEEPDWNPERCENT1",0.0123503050957224,0.00644648155471613,0.0180693070140361,0.00933890254823313,0.0113880392051023,28.8413037196239
"FREQCOFM1",0.00144371722901734,0.0162335864205206,0.0269454044629279,0.0501092417242718,0.0236033774679648,30.5931504313576
"DURATION1",0.0135594972426397,0.0139664615390447,0.00482474541588005,0.057742603000818,0.0223903895587855,33.2712577677761
"REP2",3,3,3,3,3,3
"FREQSTEPUP2",0,0,0,-0.000119307514597646,-2.99536676362856e-05,0.0792149971272957
"FREQSTEPDOWN2",0,0,0,7.21784258369624e-05,1.84000887119425e-05,0.0953796186273661
"FREQNUMSTEPS2",0,-4.99812882552095e-05,0,-7.56065076590336e-06,-1.13431013013757e-05,0.128672730149929
"NUMSWEEPSDWNUP2",-0.000787493696733686,0.000875623766617898,-0.000460484277048707,0.00223125213788572,0.000452255911396545,1.86384998754194
"FREQENDDWN2",0.00153055014674581,-2.30388293870266e-05,0.005425222184544,-0.000131928722928411,0.00172060352544845,2.9461920510451
"FREQBEGDWN2",0.000558854000534533,-0.00159427229889377,0.000923425670981376,0.00139568308791464,0.00030379772139395,3.31320081509611
"FREQBEGUP2",-0.00087688134769561,-0.000127220735447999,-9.19862161959966e-05,0.00256990349726751,0.000353102018201339,3.94668798557506
"NUMSWEEPSUPDWN2",0.006392553325048,0.00173839620149256,-0.000944019015228363,0.00451126005661162,0.00295349736354659,4.98043522082604
"FREQENDUP2",0.00148180853919498,0.00243926071582372,0.00472706363449329,0.00300732313802434,0.0028788330083366,5.07056722782743
"INFLSTDDEVDELTA2",0.00384204234455128,0.000493184740820852,0.00176495099742681,0.00266088812074779,0.00215718132813759,7.63501807117249
"NUMINFLECTIONS2",0.00193086256880308,0.000311321008086103,0.00143335336558378,-0.000410718927385833,0.000827500217830354,7.69625570252543
"INFLMAXMINDELTA2",0.0067475676431345,-0.00175433520223763,0.0042834389238638,-0.000666624589830681,0.00209930813126837,9.30253132807227
"INFLMEANDELTA2",0.00793112678159814,0.00181483055429865,0.00592406349294686,0.0073388843594393,0.00566668778814485,16.3607823975798
"FREQSLOPERATIO2",0.00191998276368671,0.00473843394738142,0.00894922304875952,8.43147726204583e-05,0.0038950296920926,18.0097081359073
"NUMSWEEPSFLATDWN2",0.014649558254496,-0.00540314888261907,0.0152572019462213,0.0138230674669995,0.00958713343804258,19.0226708313261
"FREQNEGSLOPEMEAN2",0.00982678627613351,-0.00438172893191539,0.00611640911430358,0.0145604411894654,0.00646737619239835,19.3509878848745
"NUMSWEEPSFLATUP2",0.00449905314459735,0.0111139827830529,0.0155495157171746,0.0126472341900095,0.0109146944157106,20.9670346736764
"FREQPOSSLOPEMEAN2",0.0012122129961135,0.00900574587928231,0.000778178509657378,0.00958515564646485,0.00502055394305747,22.7724333634269
"FREQSPREAD2",0.000118349732353933,0.0107379175639318,0.0365563744214309,0.0145257537836884,0.0152905641007259,24.3322797313618
"FREQSWEEPFLATPERCENT2",0.0034149163823242,0.00675630494588449,0.0140012405956575,0.013851822460877,0.00935058946408021,27.2142492150558
"FREQSWEEPDWNPERCENT2",0.0212432156643051,0.00404238460102845,0.0117337492740969,0.0115626823282552,0.0119445372797623,27.977825359781
"FREQQUARTER32",0.0079858545450982,0.0118769366399215,0.0252897659100166,0.0110724669731182,0.0138766031926868,30.2382534811102
"FREQCOFM2",-0.00314806691791071,0.00271342961938487,0.0438098863631381,0.0652375075472704,0.0269648339594332,30.9357185939119
"DURATION2",0.0108039952805448,0.000232456819602722,0.0130786836155662,0.0580793426843885,0.020443571467084,32.0416452558281
"REP3",4,4,4,4,4,4
"FREQSTEPUP3",0,0,0,0,0,0.00281635980496208
"FREQSTEPDOWN3",5.12717969226668e-06,4.3469566956174e-06,4.87707336581464e-06,3.90456193651464e-05,1.32364205871459e-05,0.0845249201397749
"FREQNUMSTEPS3",0,0,1.95541188658355e-05,4.17897152574607e-05,1.5718775602672e-05,0.0984674966154355
"NUMSWEEPSDWNUP3",-0.000224031240895971,0.000286043511147986,-7.11921244181587e-05,-9.54759477593955e-05,-3.3369969517701e-05,1.71700146580018
"FREQENDDWN3",0.00362054192570088,-0.00068061607859608,0.00393757171659076,0.000464966085038116,0.00182548617130911,3.23582650091891
"FREQBEGDWN3",0.00103195767959026,-0.00158541276090432,0.000722637705832464,0.000835692303577569,0.000251723542941532,3.66049072632937
"FREQBEGUP3",-0.000491544524029151,0.00161666074780574,0.000696557440870636,0.00309842099974322,0.00124086049795824,4.0905474911024
"FREQENDUP3",0.00134158578485264,0.00111108010986695,0.00223300368892339,0.00290484021158409,0.00191673372299064,4.70595394952867
"NUMSWEEPSUPDWN3",0.00164053917012631,-0.000224247376497424,0.00145771048194435,0.00153669693987454,0.00108334086772913,4.77970129974029
"INFLSTDDEVDELTA3",0.00286467134162321,0.000723771721722857,0.000588473141892538,0.00194043341961355,0.00149706528335255,7.7220404889362
"NUMINFLECTIONS3",0.00133862395481304,0.00318635394761129,0.000923264326836569,0.00130071250300212,0.00167206481899051,7.74555120785993
"INFLMAXMINDELTA3",0.00264396661255181,0.000659522841869715,0.000266787093937084,0.00122455887912253,0.00112878099747464,9.1365644724751
"INFLMEANDELTA3",0.000646647150308597,0.000356560354822991,0.00430173451448318,0.00417023775039913,0.00236665796993099,15.9566090514983
"NUMSWEEPSFLATDWN3",0.00700996073419151,0.00253695452364438,0.00720441364851783,0.0100430226698505,0.00663936473301612,17.3549316746832
"FREQSLOPERATIO3",0.00251985249394146,0.00523701730728039,0.00483898030957667,0.00317798795588459,0.0039068395755453,18.9902556223727
"FREQNEGSLOPEMEAN3",0.0113027372641018,-0.000773588780245884,0.00110888185252763,0.0110152941728615,0.00557001972354359,19.621796180766
"NUMSWEEPSFLATUP3",0.00427616520804256,0.0068256872961063,0.0169369093646422,0.0238292776085095,0.0128054734969128,21.2851827015829
"FREQSPREAD3",-0.000147814374381224,0.00176928987290623,0.0275803648710848,0.00796961689041141,0.00918730307150782,22.5964790729218
"FREQPOSSLOPEMEAN3",0.00173225089503278,0.00465738320822861,0.00727505770012962,0.0273061817332238,0.010130390238114,25.516606042049
"FREQSWEEPFLATPERCENT3",0.00451109510552405,-0.00226216726500285,0.018449301483213,0.0109985011804223,0.00782587867584278,27.12879387472
"FREQSWEEPDWNPERCENT3",0.0179325075670102,0.0023682434269364,0.0167737299577706,0.0106086159051546,0.0118206104963512,28.4275955834167
"FREQQUARTER33",0.00505553846584649,0.00779153624177425,0.020219778849485,0.00499515141648332,0.00948606234460654,28.6603086510898
"FREQCOFM3",0.010267032557215,-0.00659870210208196,0.0418258273757334,0.072265149685578,0.0291008434917337,31.8509603966747
"DURATION3",0.0158655544598979,0.00527602279153635,0.00934277251150632,0.0555713553121728,0.0213369812942216,32.2926831627094
"REP4",5,5,5,5,5,5
"FREQSTEPUP4",0,0,0,0,0,0
"FREQSTEPDOWN4",0,0,0,9.75984822245789e-05,2.38808098089535e-05,0.0887239595496517
"FREQNUMSTEPS4",0,0,0,0.000106624358121364,2.37628417473242e-05,0.0938144673680327
"NUMSWEEPSDWNUP4",1.38726442104404e-05,-0.000447821664459616,-0.000831506165018439,0.000111080119747545,-0.000283093071737567,1.72641492051195
"FREQENDDWN4",0.00271201038743624,0.00150535433130477,0.00405731428328933,0.00018117256895052,0.00210772284371563,3.1708884359018
"FREQBEGDWN4",0.000654322425647954,0.00312411821145964,-0.00014266112846296,0.00262892144072522,0.00152216859551527,4.30637347302242
"FREQBEGUP4",0.00157623453877789,0.00248845346064022,0.00189943480728622,0.00266967575561336,0.00218934028174344,4.31439326871295
"FREQENDUP4",-0.000522022802490272,-0.000704174502299117,0.00501426868458702,0.000348245759808304,0.000922647820358594,4.67777162431813
"NUMSWEEPSUPDWN4",0.000543138837485021,9.2816466154943e-06,0.00249611356131522,0.000460351754894511,0.00090367847798042,4.72250529835743
"INFLSTDDEVDELTA4",0.00281069365954469,0.00250567322022149,0.00401570989818641,0.00251428679586975,0.00292094255462815,7.7125447057449
"NUMINFLECTIONS4",0.00212873348087648,0.00534737748343506,0.00593115585146838,0.00254047129008138,0.00396418227579574,8.54337281003949
"INFLMAXMINDELTA4",0.0022736437406272,0.00299951627478791,0.00176689184664223,0.00164946178851443,0.00207356368526825,9.98784186354709
"INFLMEANDELTA4",0.00348700783658769,0.00336746091930793,0.00191515253629513,0.00395529758408884,0.00295420681396529,15.9613136249508
"FREQSLOPERATIO4",0.00275613444053552,0.00718653794726507,0.013642219626528,0.00295269148194978,0.00640168592708257,19.3555858052655
"NUMSWEEPSFLATDWN4",0.0101518282653736,0.00433631692272335,0.0150037813067251,0.0101451578784179,0.00969109059644433,19.3898291816103
"NUMSWEEPSFLATUP4",0.0020708113472891,0.00732624481413024,0.0106097509128548,0.0103252110037068,0.00751999766430873,20.1060540873695
"FREQNEGSLOPEMEAN4",0.00213472599901032,-0.00340697797054863,0.00646908749144443,0.0207847174452093,0.00652986192147003,20.6769858875774
"FREQPOSSLOPEMEAN4",0.0085869140844192,0.0118850179687884,0.0021088506062906,0.0124325784034437,0.00882839186669519,22.4384226083093
"FREQSPREAD4",0.00457509367984395,0.0120042931326002,0.0195775148831407,0.0152715364550218,0.0127011317841616,23.4011019810868
"FREQQUARTER34",0.00262259676754236,0.0113735410567266,0.0147454430320885,0.00812742074043155,0.00920909640109494,27.0974181711703
"FREQSWEEPFLATPERCENT4",0.00925598021373932,0.00425052857394394,0.0176450150089902,0.0144061846130551,0.0113645790882931,27.3343565895074
"FREQCOFM4",0.00689631831735113,0.00808670266592203,0.0241292429466359,0.0601901546723854,0.0246846872941808,29.3419800572175
"FREQSWEEPDWNPERCENT4",0.0130554512896018,0.00668977677360505,0.0213652595392351,0.0142422490777074,0.0135409901179655,30.006281861378
"DURATION4",0.0153279503565657,0.0135395668128897,0.00401216978164481,0.0490987958226556,0.0202623662867437,31.9737475556636
"REP5",6,6,6,6,6,6
"FREQSTEPDOWN5",0,0,0,0,0,0
"FREQSTEPUP5",0,0,0,0,0,0.0979903344453613
"FREQNUMSTEPS5",0,0,0,0,0,0.102177660537333
"NUMSWEEPSDWNUP5",-0.000693897587167259,0.000255693458435662,-0.000207404391190754,0.000258022081910502,-0.000101613645724844,1.622690199061
"FREQENDDWN5",0.00212142141757927,-0.000563173110677676,0.00913782404789176,0.00016275238841227,0.0027236403845495,3.2673544014924
"FREQBEGDWN5",0.000147187721989329,-0.0001679475675001,0.00102073645900926,0.00138890927724668,0.000567419371775713,3.97659685822203
"FREQBEGUP5",0.0030658431459159,0.00158968255918173,-0.000892217455691746,0.00176138209383819,0.00139704649794736,4.37969239225454
"FREQENDUP5",0.00285834193619936,0.00142831564121468,0.00381754383660725,0.00442964831109652,0.00308934601413544,5.02422496675598
"NUMSWEEPSUPDWN5",0.00356378047140524,0.000889857193855358,0.00142336307110667,0.00238236596326836,0.00209658561916297,5.24357464193375
"INFLSTDDEVDELTA5",0.00042023807549123,0.00144109783999706,-0.00106964793256804,0.0043920991763261,0.0012314898037842,7.79174101064627
"NUMINFLECTIONS5",0.000293828105150508,0.00514148143376698,-0.00166075035024785,0.00165974073059842,0.00130286377044736,8.17209370214607
"INFLMAXMINDELTA5",0.00372873341997545,0.0037755527618318,-0.00167895053237189,0.0042113894613839,0.00248669166579736,10.075907075698
"INFLMEANDELTA5",0.00433571256814871,6.54570069700926e-05,0.00225353158033557,0.00228557601149687,0.00220112149416975,15.8251148756919
"FREQSLOPERATIO5",0.00183151135290137,0.0026390591176024,0.00833078207668398,0.00274822822357494,0.00378309003544704,18.9082621406162
"NUMSWEEPSFLATDWN5",0.00948344640361186,0.00195731296404658,0.0114264476149776,0.0123837992260953,0.00873599202285096,19.0788013589428
"NUMSWEEPSFLATUP5",0.00337091142294285,0.00548363808441612,0.0105242632944908,0.00918360140890442,0.00702274219963079,19.5090740653818
"FREQNEGSLOPEMEAN5",0.00495812457388608,-0.000312908314384324,0.00620314071678509,0.00701367852063755,0.00441682285745866,19.5164869969396
"FREQPOSSLOPEMEAN5",0.000559757086582266,0.00230578196879643,0.00451033499252097,0.00771296167915468,0.00376319311417353,22.4076480397682
"FREQSPREAD5",0.00057111177122064,0.0104248315382072,0.0273353444623772,0.0123090874372966,0.0126012274297171,24.2832980993263
"FREQSWEEPDWNPERCENT5",0.0119252325624229,-0.00245486683338581,0.0156754731116698,0.00853889186150464,0.0082946097554556,27.4853500152926
"FREQSWEEPFLATPERCENT5",0.00133917218412194,-0.00317818673661067,0.0223723048171513,0.0158495871681149,0.00895108457299196,27.9441560195743
"FREQQUARTER35",0.00383908934441144,0.008342996535457,0.0178294223991636,0.00947548825572019,0.00977823409395142,28.7801542058354
"FREQCOFM5",-0.00134527520711772,0.00106954493961389,0.0360995595665423,0.0646428373034154,0.0247327559989766,31.126445953556
"DURATION5",0.0145796443109539,0.0077528768701194,0.00612035376056915,0.050578856228362,0.0195415495124498,31.6998351427028
"REP6",7,7,7,7,7,7
"FREQSTEPUP6",0,0,0,0,0,0.00732427743189986
"FREQSTEPDOWN6",0,0,0,6.09603696636816e-06,1.52400924159204e-06,0.0407069230559401
"FREQNUMSTEPS6",0,0,0,2.91231426603091e-05,7.54202832480968e-06,0.0560569050714992
"NUMSWEEPSDWNUP6",0.000289073407253005,0.000590606245834762,-0.000335397335551899,-0.000111406321134575,0.000115350845225278,1.82737301093444
"FREQENDDWN6",0.00189969568474278,-0.00145392670583973,0.00265039245423165,0.00194912278315999,0.001262102866484,2.71926098238421
"FREQBEGDWN6",0.00174780418079084,-0.000173659683906354,-0.00107657882333464,0.000304203913436261,0.000196886109912237,3.88526242356638
"NUMSWEEPSUPDWN6",0.00149537877692435,-0.000383664968423923,-0.000261885074007602,0.000470105251226624,0.000309439045539801,3.88749190845557
"FREQBEGUP6",0.000454336400054241,0.00127372005373899,0.000107341453499532,0.0066587865294874,0.00210629257473599,4.35895062029117
"FREQENDUP6",0.00183360045010893,-0.00128526807118696,0.00133107502907616,0.00214951266696509,0.000984379371815881,4.36947331221541
"NUMINFLECTIONS6",0.00358477700541175,0.000419143213377582,0.000122053734494243,0.00122032086230597,0.00128281538818943,7.71786613213441
"INFLSTDDEVDELTA6",0.00359141175002706,0.000115771749090233,0.00225795251161422,0.00228703798380404,0.00202883503442715,7.89106294116528
"INFLMAXMINDELTA6",0.00392094919412982,-0.00106452539474032,0.00298771260469905,0.00182864311906474,0.00193086322460173,9.8621562255601
"INFLMEANDELTA6",0.0049364061457781,-0.00229643842713581,0.00164046169388941,0.000245707663144864,0.00103535815612111,15.0759800712708
"NUMSWEEPSFLATDWN6",0.0109964420941512,0.00567416752243706,0.0123303817362898,0.00979147068294247,0.00967061509420701,19.0092136618767
"FREQSLOPERATIO6",0.00384230622179196,0.00183896430952283,0.0120967075621588,0.00489463290003324,0.00559435790699618,19.2043166291978
"NUMSWEEPSFLATUP6",0.009970257660503,0.00613532042770438,0.00845747546636188,0.0147430425986988,0.00967709496095433,20.3498144805801
"FREQNEGSLOPEMEAN6",0.0117196811658652,-0.00435608227533262,0.0076517789575737,0.0213369940104488,0.00903912415501689,22.2233313534224
"FREQSPREAD6",-0.00624204272099986,0.0129484277764433,0.0186913783255126,0.0132241603166896,0.00945849428887508,22.6899686081674
"FREQPOSSLOPEMEAN6",0.00134322207633543,0.00440578777340997,0.00152719195253,0.0194206818360528,0.00663085936111478,23.783418981475
"FREQSWEEPFLATPERCENT6",0.00335630053985215,0.0086920850206488,0.0155829950001778,0.0135219685628619,0.0101547359038167,27.9925300207518
"FREQSWEEPDWNPERCENT6",0.0173059839472418,0.00127348251465151,0.0117358207604861,0.0110666021641097,0.0102349561958522,28.2178696448783
"FREQQUARTER36",0.00487004585368871,0.0111369046879528,0.0163202325050011,0.00344261166553263,0.00886344593141129,28.5059328401251
"DURATION6",0.00945759372196381,0.00603681330526761,0.00432537854089467,0.0461595387765368,0.0163180321415959,30.3604175362708
"FREQCOFM6",0.00497249788978387,0.00768950675339411,0.0284660655590683,0.0766684102786132,0.0292252146838095,32.3747955487458
"REP7",8,8,8,8,8,8
"FREQSTEPDOWN7",0,0,0,1.90870916725746e-05,4.76478373410868e-06,0.0628395013693797
"FREQSTEPUP7",0,-4.65023274414884e-06,0,-9.09322463974329e-05,-2.30862090070409e-05,0.0732759348814459
"FREQNUMSTEPS7",1.01261798922267e-05,-1.94227345855844e-05,9.63802593720513e-06,-0.000114883959701654,-2.92562354241911e-05,0.130633768916134
"NUMSWEEPSDWNUP7",-0.000182868415670046,-9.85651638649575e-05,3.59605156251582e-05,0.000968631555768295,0.000186699894468789,1.63287239664337
"FREQENDDWN7",0.00382169251916929,-0.000964760607686157,0.0074669564659128,0.000312565554135671,0.00265335166863976,3.6157294343387
"FREQBEGDWN7",0.000502430478570317,-0.000584189252816632,0.000131412710057469,-0.000294254367323495,-6.96232916283412e-05,3.65085493343
"FREQBEGUP7",0.000299122893878627,0.000899173211627794,0.000679728248049931,0.00185994759907523,0.000928148951087069,3.97557621496841
"FREQENDUP7",-0.000191523110254036,0.00139033864646455,0.00315298743890244,0.00238302806096647,0.00166246433932095,4.45639720767905
"NUMSWEEPSUPDWN7",0.00208020380784218,0.00122530527808047,0.00106625647815222,0.00106081059002273,0.00131022828372862,4.46001455783811
"INFLSTDDEVDELTA7",0.00136549927959515,0.000774293736122525,-0.000750750850181549,0.00023754869891696,0.000395609163244397,7.36463132505642
"NUMINFLECTIONS7",0.000997554142855061,0.00369012716410025,5.39506357079931e-05,0.000440779077644955,0.00127503290290261,8.04583912870049
"INFLMAXMINDELTA7",0.00220271936136946,-2.93907406823804e-05,-0.000389955461251868,0.000413782925844434,0.00050365085408915,9.31487420448192
"INFLMEANDELTA7",0.00532736382941931,0.00161966537400419,0.00109863856268073,0.00262671301319868,0.0026153082707634,16.0580297588398
"NUMSWEEPSFLATDWN7",0.00932296803738,0.00264588919257141,0.0083360338533776,0.0113333258220239,0.00784102226485365,18.1466908017355
"FREQSLOPERATIO7",0.00558452664989048,0.00197845945941557,0.00862691046875147,0.00341901407200114,0.00481679537743984,19.5867798577084
"FREQNEGSLOPEMEAN7",0.00665363151033754,-0.00363168145458294,0.00382607287714607,0.0154048378892358,0.00554984321212799,20.3741014706634
"NUMSWEEPSFLATUP7",0.00515080710302915,0.00920729901154984,0.0109502864823991,0.0156775957235499,0.0101700236562937,21.4358777545035
"FREQSPREAD7",-0.00118490575149286,0.00678022779871288,0.019599325396627,0.00627670166786809,0.00774208828635924,21.8605002161396
"FREQPOSSLOPEMEAN7",0.00501655419165842,0.00279320078195589,0.00674141126948583,0.0210048153065128,0.00880839628494767,25.4096497973666
"FREQSWEEPFLATPERCENT7",0.00270315339868865,-0.00317003698166482,0.0147849609563287,0.0127984609954975,0.00674007546344772,26.6571710901901
"FREQSWEEPDWNPERCENT7",0.0154415275290765,-0.000687186366991466,0.0211135842099393,0.00986871015140208,0.0113065389969641,29.2096337417983
"FREQQUARTER37",0.00286806614402225,0.00892736782010893,0.0255494590709027,0.00427824548312203,0.0104016066879863,29.3359106591284
"DURATION7",0.0103323962211367,-8.06012469366694e-05,0.00382123643708087,0.0387427841854177,0.0131849972376053,30.3068951211742
"FREQCOFM7",0.00916358855941848,0.00539394397273574,0.0371798045248644,0.0657311722201932,0.0291541565432247,31.1723571926103
"REP8",9,9,9,9,9,9
"FREQSTEPDOWN8",0,0,0,0,0,0.0357244030403769
"FREQNUMSTEPS8",0,-1.12615775273413e-05,6.53449560228446e-06,-8.97867112982641e-05,-2.4507588013596e-05,0.123403960667868
"FREQSTEPUP8",0,-5.41885001165053e-06,5.55432126194179e-06,-0.000183127424997935,-4.56341290338361e-05,0.123445559768728
"NUMSWEEPSDWNUP8",-0.000299374808574159,-0.000199157362596754,-0.000355421249743409,-0.000152896273330193,-0.000247094302881796,1.56083152891959
"FREQENDDWN8",0.0026193376420128,-0.000134825644278571,0.0039676042447719,-0.000948093889734503,0.00138768191800007,2.88649802180054
"FREQBEGDWN8",0.00237706209126291,-0.000963553519281299,0.000368102935174703,0.00207566701805606,0.000973503651342833,4.02122942861081
"FREQBEGUP8",-0.000380139667026608,0.00156133891648507,-5.42691498737784e-05,0.00485122897931671,0.00144495266356917,4.19981611838364
"FREQENDUP8",0.00215417493132711,0.000923227182173093,0.00345515488263715,0.000919713708290895,0.00186855281958253,4.66890287571421
"NUMSWEEPSUPDWN8",0.00208342355222484,0.00100136754053392,0.00296351507148256,-0.000399042180709686,0.00140245148166144,4.71029159035529
"INFLSTDDEVDELTA8",0.00175711536950788,0.000690794651726272,0.00117009403314071,0.00246353805429495,0.0015216683589706,7.28612640703792
"NUMINFLECTIONS8",-0.000268026955347018,0.00272159190623893,0.000750795639376274,0.00172205139257442,0.0012257545621487,7.84574436725786
"INFLMAXMINDELTA8",0.00262356969461507,-0.000316254061016893,0.000434221261613088,0.00157480515434431,0.00106205471086317,9.40947003618345
"INFLMEANDELTA8",0.00317136183100695,-0.000646935668266555,0.000103530537953353,0.00306403609995845,0.00135759455079999,14.576192467361
"FREQSLOPERATIO8",0.000513113174317245,0.00314675012880424,0.00993606763422937,0.00357365670749977,0.00427350995657889,18.2322588068549
