"EncounterID","x","y","new"
"M1",0,29,0
"M2",17,21,0.80952380952381
"M3",16,24,0.666666666666667
"M4",21,26,0.807692307692308
"N1",0,25,0
"N2",6,19,0.315789473684211
"N3",2,33,0.0606060606060606
"N4",1,23,0.0434782608695652
"P1",1,13,0.0769230769230769
"P2",2,15,0.133333333333333
"P3",1,12,0.0833333333333333
"P4",0,12,0
"P5",1,18,0.0555555555555556
"P6",2,7,0.285714285714286
"P7",0,9,0
"P8",4,14,0.285714285714286
