"P1","P2","P3","P4","P5","P6","P7","P8","MeanDecreaseAccuracy","MeanDecreaseGini"
"FREQBEGDWN1",-0.000887050454558457,-0.00127044097338625,0.0017020408774064,-0.000326278159261236,0.000875706610250112,0.000108306706342311,0.000542704839953131,0.00137044896538064,0.000262786592735993,7.54931082804536
"FREQENDUP1",0.00167945498769625,-0.000171902923878982,0.00160007316022866,-0.000803889713995759,3.70131661754022e-05,0.00216224776528542,0.000109489050415436,-0.00062977663280738,0.000457895311526769,8.67953333519726
"NUMSWEEPSUPDWN1",0.000374645094925601,0.00144663164330667,0.000237215737608461,0.000672023724232813,9.10971890352654e-05,0.000250753776728184,-0.000372969868284599,0.000773388322572079,0.000415516786060923,8.77415654830258
"FREQBEGUP1",1.85936170554001e-06,0.0033774901406585,0.000260716721310376,0.0037033893721797,0.000908701403964277,0.000783652065591219,0.000127426979999494,0.00124275819154371,0.00127208433858631,9.95594862847244
"INFLSTDDEVDELTA1",0.00174398832200383,0.00579996828698753,0.00105534223598814,0.00052641969665633,-0.000797516960770081,0.00104708156899817,0.00263331696938985,0.00212919885963804,0.00172585978107999,13.6586562538847
"NUMINFLECTIONS1",0.00153360902750272,0.00471828941532927,-0.00254283050976161,0.00192869481571637,0.00144887264391804,0.00307670931105094,0.00265705654708203,-0.000849381003899773,0.00149050353109773,14.8489746347874
"INFLMAXMINDELTA1",0.00302706263716266,0.00553893016876413,-6.15386225024133e-05,7.53284725798213e-05,0.00136527328043909,0.00156829345868948,0.00188059550572655,0.00215891299319908,0.0018888830023481,17.2603181251601
"INFLMEANDELTA1",0.000261693131638792,0.00948750905503522,0.00466954414038663,-0.00131073720431301,0.000532665399442546,0.00462382802846188,0.00432035415814905,0.00528779344577932,0.00348709961969294,30.484637303956
"NUMSWEEPSFLATDWN1",-0.00146032479300338,0.0103373392112632,-0.000192479664070013,0.00207300766959085,-0.000201638443121899,0.0149049530394843,0.00260122145738619,0.00679641649140869,0.00434297058505455,34.2184866562454
"FREQSLOPERATIO1",-0.00190521106773555,0.00504532365582026,-0.000122783266667144,0.00136166943211453,-0.00145117361210552,0.004445526163711,0.002819408184531,0.00184691942823018,0.00140450448891609,34.8266203858474
"NUMSWEEPSFLATUP1",0.00444189471294206,0.00843081496528632,0.00736381851656808,-0.00164838830848849,0.000367552266283387,0.0158912095604169,0.00707771573752788,0.0218207290410295,0.00778586323429639,38.7205579508606
"FREQNEGSLOPEMEAN1",0.00347310699977163,0.00672795778702439,0.0193750357549618,0.00283410236334918,0.00844988661255047,0.00998075583867305,0.0126172928398296,0.0303359054690896,0.0115846301914811,44.8928923882787
"FREQSPREAD1",0.0120362183080215,0.0141637338685319,0.0105846670040611,0.000773384292941796,-0.00028468690450261,0.00409654032938861,0.00937695892804587,0.0146547371273352,0.00806208925137973,46.2711275047986
"FREQCOFM1",0.00637019399294887,0.0147904838522264,0.0115954468432788,0.00138165164438021,-0.00235823777470425,0.0130435504869695,0.00845052056115821,0.0178227590727106,0.0087802745892806,49.5208614452314
"FREQSWEEPDWNPERCENT1",-0.00408203919568657,0.00893177460410026,0.0214814897056019,0.00458351039213154,0.00219627608643925,0.00867527917476866,0.00932562038956104,0.00753644741843904,0.00729989672014427,54.0035187186717
"FREQSLOPEMEAN1",-0.00055000677787196,0.0187641139291317,0.00307854217563384,0.0102152123796946,0.00135420190670206,0.00952728006336793,0.00903687306379623,0.00898079028369874,0.00746364560521622,54.1726270484218
"FREQABSSLOPEMEAN1",0.0142248470528082,0.0162224953509764,0.00365055725644864,0.0098912225054089,-0.00240869540448347,0.00794344747695432,0.00682387739536578,0.0183251832972936,0.00931131793741055,54.2019830888003
"DURATION1",-0.000944713491398215,0.0102542422652138,0.00937334405027824,0.00837090791890693,0.00292429425433905,0.0130413826118365,0.00642173163755257,0.00215646704499498,0.00630842656191062,55.2687696755194
"FREQSWEEPFLATPERCENT1",0.00327588815100425,0.00622596392526205,0.038605202181052,0.0117402026142651,0.00399370062107093,0.0173996931744272,0.0244997992112094,0.00630428388998862,0.0138718506411504,58.1391429618943
"FREQPOSSLOPEMEAN1",0.0145381709397341,0.0162420191989669,0.0340662678253049,0.0148026865747112,-9.84987210590525e-05,0.0166929892640966,0.0233077182218177,0.043715398355997,0.0202702695425203,59.0672802192357
"FREQQUARTER31",0.00708940556797767,0.0568277620483243,0.0561776057405276,0.0187881393755473,-0.000538281044109933,0.0561982188374815,0.00570104018426092,0.0493357177384874,0.0308495835842999,77.4118922061286
"REP2",3,3,3,3,3,3,3,3,3,3
"FREQSTEPDOWN2",-1.49664816731403e-05,-3.78057798638193e-05,7.20125630986513e-06,-1.37230842904796e-05,0,2.77375244511798e-05,-5.50818213940642e-06,1.01652771118878e-05,-3.46446098283469e-06,0.45065991153693
"FREQNUMSTEPS2",-4.39439901721262e-05,-1.15374460403249e-05,0.000149006741290579,-3.82212253042033e-05,5.32786569955391e-05,3.49040493976824e-05,-1.51073175412413e-05,0.000170726163092816,3.721223400201e-05,1.01997276069971
"NUMSWEEPSDWNUP2",7.83509194734854e-05,0.000476095672949688,0.000788233509686636,-0.000237823315853389,6.24509048988131e-05,-9.80106708806574e-05,-0.000128938313719935,-0.000222102791267316,9.58218736630337e-05,2.22091852122913
"FREQBEGDWN2",9.31459479609103e-05,-0.000451329635308661,0.00157921558986503,-0.000483728855018518,-6.28651746130439e-05,0.000845168025739791,0.000340095384757046,0.00193698582037792,0.00046447683133002,7.53679439780787
"FREQENDDWN2",0.00165241173738339,0.000491851327590356,0.000874370400913166,0.000428757176399133,0.000721378858316203,0.00117683175091869,0.000803797144136089,0.000674642610842564,0.000846666670922435,7.59854428918961
"FREQENDUP2",0.00198148173068408,0.000172787893801356,0.00236512459260195,-0.000411929415174952,0.000339189207994288,0.0018019213389705,9.04503697801025e-05,-0.00100000054896511,0.000645914276958524,8.72056310062684
"NUMSWEEPSUPDWN2",0.000228017614823566,0.000826437651373219,0.00125533012408108,-0.000490143083942773,-0.000452695759628953,-0.0012466497908666,-0.000132539773985293,0.000493742164105405,5.82835847122047e-05,8.88360068466949
"FREQBEGUP2",0.000591094147979031,0.0021910807473554,0.000643359521667046,0.00302264882624371,7.4270716602138e-05,0.0022829432833488,0.000813762748808465,0.00125972254984994,0.00132939250028678,10.4658911308559
"INFLSTDDEVDELTA2",0.00197331235487194,0.00177337643639519,-0.000633903758131437,0.000796688247601313,-0.000296866990798121,0.00139730550211692,0.000794783686055118,0.000413773492284727,0.000780898568838831,13.3854034860654
"NUMINFLECTIONS2",0.00228266959420505,0.00229962525820838,-0.00258735605746793,0.00162069590821994,0.00350030540762503,0.0018225817445671,0.00266764557189581,-0.00137048977725987,0.00126728202238976,14.6466243860067
"INFLMAXMINDELTA2",0.00250599842337707,0.00283354965729296,-0.000859052798101169,0.000953794291467484,0.00071480104597322,0.00182831858158002,-0.000109798852398038,0.000374591037520697,0.000994024058365051,16.7650716541418
"INFLMEANDELTA2",0.000882463046233685,0.00429043408639975,0.00054616778151222,-0.00186983403177999,0.00071479858107137,0.00345012365710697,0.00191072985007162,0.0031784879491498,0.00163172344544018,28.5904824973442
"NUMSWEEPSFLATDWN2",0.00106894547022074,0.00592525092337909,0.00528155751841885,0.00206550708743706,0.00085053795356887,0.0111163932960851,0.00146768012713352,0.00299691807189081,0.00381185543056484,33.8297747151337
"FREQSLOPERATIO2",-0.000847466825079166,0.00506054741824473,0.00210794938647558,0.00346897150299529,0.00313978361733482,0.0048913492307148,0.00131558292127149,0.00128990021501064,0.00249414886639039,35.731515586224
"NUMSWEEPSFLATUP2",0.00260744260077517,0.00767888142639885,0.00698942785120472,-0.00183574063649675,0.00547629241184264,0.00836104309085814,0.0141498957234608,0.0166659784893917,0.00747319793112148,39.4408827911037
"FREQNEGSLOPEMEAN2",0.000583982625424627,0.0108763460408434,0.0262455789585438,0.00941032190428263,0.0120009723748512,0.012661814708839,0.00986625772519413,0.0356181943160422,0.0145657531793113,45.5047508295223
"FREQSPREAD2",0.00586169456506907,0.0212512196049855,0.0110758506353337,0.00255867745010426,0.00163991394716588,0.000469581340024755,0.0113858158259761,0.0175042691385898,0.00886804381514462,46.271785315397
"FREQCOFM2",0.00684963126999731,0.0124893569192905,0.00977574992048352,0.00731592009874031,-0.00119968177676364,0.0051905292199126,0.0119896725675394,0.0164308213507771,0.00852314899372924,48.6674532524938
"FREQSLOPEMEAN2",0.0042813655336867,0.0157640320748229,0.00852233470428547,0.00828292489115873,0.00688382777647656,0.0046224137211263,0.00713397468619817,0.00855319143021268,0.00794904298436202,53.2006272687696
"FREQSWEEPDWNPERCENT2",9.85449602768558e-05,0.00752192699406159,0.0169018797665911,0.00731236251278097,0.00634912152692171,0.00666758020079081,0.00893886528695381,0.00892875581325658,0.00773591270026001,53.3283521680311
"FREQABSSLOPEMEAN2",0.00674852421444238,0.0179481496350801,0.0029143241061061,0.00941041367720824,0.00189966021592023,0.00655766218569979,0.00613348443124521,0.0162983982600845,0.0084257294800599,53.6598012782221
"DURATION2",0.000526521238321859,0.0103585762713183,0.00916980267471591,0.00532957273916642,0.000375551235893788,0.0072249101150431,0.00792731097482413,0.00495727690964313,0.00567312507198461,55.5374934579068
"FREQSWEEPFLATPERCENT2",0.00464002043339728,0.0130138802875447,0.0309075197291529,0.0102524456737907,0.00820103122108848,0.0131742429843729,0.0227340951814066,0.0110714179827584,0.0141587659966003,57.847519973532
"FREQPOSSLOPEMEAN2",0.0117910603889656,0.0175177823460147,0.0607552556369574,0.022662189837189,0.00247852476560127,0.0179217674299309,0.027927897602997,0.0418953259138838,0.0251681658387701,62.9328985705637
"FREQQUARTER32",-0.000833254392690513,0.0640174939186098,0.044734888853959,0.0160409393748037,0.00200484668940181,0.046301834592983,0.0077695721946207,0.0455825120641653,0.0279761037487938,77.8129613514982
"REP3",4,4,4,4,4,4,4,4,4,4
"FREQSTEPDOWN3",-1.2257701124958e-05,-2.99158205201313e-05,-4.99875031242189e-06,1.19620995651988e-05,6.40865424669474e-06,0,-9.83045751141613e-06,7.81054736315921e-06,-3.70865895365983e-06,0.36253326741856
"FREQNUMSTEPS3",-2.76933917637091e-05,-4.4324275395658e-05,1.33978628644255e-05,1.42728568226211e-05,2.37753844746833e-05,-1.14732076314572e-05,-7.21656232638431e-05,1.37624273563499e-05,-9.64738550754831e-06,0.729124767070341
"NUMSWEEPSDWNUP3",3.43424299912753e-05,0.000304187754716068,0.000526097064567255,6.69871914498163e-05,1.82827857380954e-05,7.25013580592563e-05,-0.000129238604292157,5.76994370097466e-06,0.000113566590354183,2.26311576495799
"FREQENDDWN3",0.00095684737072564,0.000954182451434611,-9.54954816327318e-05,0.000341660455642832,0.00120260118618521,0.000850209398229991,0.00164364918515978,0.00176158818755159,0.000932444515895574,7.78981093022801
"FREQBEGDWN3",-0.000278669995417845,-0.000831298196593764,-0.000584743398274969,-0.000873136779733955,0.000417247357773667,0.000399087058848002,0.000763956254420497,0.00343930370397916,0.000304358888693518,8.01355198591394
"FREQENDUP3",0.000799551902252021,-0.00029040912492069,0.000777970918398616,0.000262832581809342,-0.000286108757296485,0.00202962276339719,-0.000603018839998813,-0.000316460915442497,0.000274707532170965,8.64716686247753
"NUMSWEEPSUPDWN3",-3.65147878878504e-05,0.000837469029080426,-0.000435413766390585,0.000370783449995527,0.000715079071571753,-0.000944219635707799,-0.000895668305411836,0.00137740808435278,0.000125355587729637,9.072079978389
"FREQBEGUP3",0.000495859037056655,0.0024414832961552,0.0016141489193895,0.00246254695483428,0.00127106100164632,0.000909941931872936,-0.000249222573945772,0.00280358534739452,0.00145729589424997,10.3641984488042
"INFLSTDDEVDELTA3",0.00232886037662946,0.0010385217706188,-0.000273659760090418,0.000833322020425036,-0.000816205734463132,0.0017203614112177,0.000368694876594298,6.90593388588889e-05,0.00065099568726603,13.5305067128764
"NUMINFLECTIONS3",0.00139124878011457,0.00182417550162497,-0.00141272543657677,0.00122429125122884,0.00201466126161151,0.00235859964710323,0.00254348739528481,-0.00105710096418748,0.00109562640209026,14.0067631596582
"INFLMAXMINDELTA3",0.00199363519241922,0.00211513144654539,-0.000566525447481665,5.72282232066648e-05,-0.000317191698256351,0.00219801924577755,-4.12929944461572e-05,0.000729104740375103,0.000749286479532707,17.2388951049496
"INFLMEANDELTA3",0.00101450774623608,0.00382079136693944,-0.000290536994973596,-0.00286699301628948,0.00253652627843852,0.000705860316108164,-8.35777785023066e-05,0.00609733727567649,0.00131258794711417,29.8619667330099
"NUMSWEEPSFLATDWN3",0.00187746857103596,0.00533124273703794,-0.000672064159573395,0.00257494848315556,0.00174702733213638,0.00867250732513338,0.00350121168993049,0.00659985775654257,0.00367140855032498,34.042238341598
"FREQSLOPERATIO3",-0.00307042635298425,0.00270134820676719,0.00119232801432662,0.000661152197149305,0.000982546166194711,0.00326856487898498,0.00132916818396205,0.000754960171219612,0.000966482049165115,34.6913838153093
"NUMSWEEPSFLATUP3",0.00108809042844031,0.00829939909459308,0.00784682040597919,0.000726797624500759,0.00139799493481222,0.0144724475715824,0.0116959540739642,0.0166079460073418,0.0077204454470744,40.3262816590278
"FREQNEGSLOPEMEAN3",-0.000740357737025525,0.00364969033030647,0.0190177408373712,0.000750404658322,0.0101713190009388,0.00909459522008745,0.00888166625102331,0.0238504101884237,0.00920940416913192,42.3722136045867
"FREQSPREAD3",0.00512362638672614,0.0206056729688433,0.00481577972827732,0.00099910570849379,0.00299437505440934,-0.000860970131544675,0.00851435595218212,0.00437845181617018,0.00576241674447992,45.5920057371492
"FREQCOFM3",0.00206757902623598,0.0133558382095803,0.00407056563018829,0.000593144252541377,0.00257096233073767,0.00771239845864974,0.0134565415202475,0.0164711129647486,0.00742484355592113,48.654499730487
"FREQABSSLOPEMEAN3",0.00695851508655445,0.0198311268918863,0.00169011234428495,0.00572035025849983,0.00290066691578354,0.00622533098947317,0.00776229730845906,0.0222667366595937,0.00906913138109524,54.1893873079841
"FREQSLOPEMEAN3",0.00440576134672628,0.0195923428980036,0.00681199791665484,0.00303893323686695,0.00703628433336455,0.0094965742806323,0.00976490951444894,0.00892853912528019,0.00859086962200112,54.3053252571645
"DURATION3",0.0020942259422393,0.00724691390329695,0.00750725451512492,0.00326241801872785,-0.00127432385660331,0.00334108243304062,0.00859628625103095,0.00101278347021616,0.00392894346611806,54.7761267242164
"FREQSWEEPDWNPERCENT3",0.00135906426352536,0.00689109285951915,0.0258129719771034,0.00345468572973858,0.00590049105877219,0.00682783539097614,0.0134608599449909,0.01112876581323,0.00924273570226653,55.6354505580676
"FREQSWEEPFLATPERCENT3",0.0023165430431755,0.00659362289285057,0.0325591687925729,0.00596573830016819,0.00727471489304679,0.0167941777891858,0.0206784508245558,0.00807445729093197,0.0123935353851688,58.6720656438543
"FREQPOSSLOPEMEAN3",0.00987693438609222,0.00897574677468749,0.0461826902391729,0.0101559869946187,0.00271165996030288,0.020867444996295,0.0237122766945521,0.0314714925246089,0.019067166954667,60.6786412846694
"FREQQUARTER33",0.00351564506096475,0.0508420672399593,0.0367464749583861,0.0121426025052147,0.00679527609409366,0.0483902124526648,0.00988930121574929,0.0431353091140923,0.0261757345502135,78.477877536405
"REP4",5,5,5,5,5,5,5,5,5,5
"FREQSTEPDOWN4",-4.75680898848977e-05,2.30130879092113e-05,-1.16220959287798e-05,-1.06329813816496e-05,2.63206290151778e-05,1.16220959287798e-05,3.8523745425381e-05,2.55040438437112e-05,5.82783316534176e-06,0.424889176198045
"FREQNUMSTEPS4",-0.00017134863514899,4.78376482833215e-05,6.60233702422851e-05,4.36326925497953e-05,3.92222944297356e-05,-5.3614867032278e-05,2.34404060945991e-05,3.76497356942639e-05,4.74273974566936e-06,1.16484022037623
"NUMSWEEPSDWNUP4",1.70764303142604e-05,0.000570370349039633,-0.00020949294346493,-5.59036320569928e-05,0.000192039719933736,-5.13078350473038e-05,-2.20578067770973e-05,-0.000102680041350767,4.56206143729422e-05,2.16761641422556
"FREQENDDWN4",0.00133268128597878,-0.000692566283976389,4.93114331317078e-05,-0.000972350849541126,0.000832097075566745,0.000917651753039304,0.000816688483839597,0.00212589991772795,0.000548245413543773,7.17061063145156
"FREQBEGDWN4",7.90154966812636e-05,-0.00150504668762888,0.0012814897950633,-0.000838813683954095,0.000422856241285907,5.22693877718813e-05,0.000340375631196249,0.00066820079412711,6.5385956565257e-05,7.7990587994543
"NUMSWEEPSUPDWN4",-0.000432048561395417,-0.000629048995898037,-0.00024182277092658,0.000221494789476017,-4.71570745778364e-05,0.000416437081332868,9.27088508571494e-05,0.000333122577000535,-4.42631073431712e-05,8.85637630825619
"FREQENDUP4",-0.00101688024130697,-0.000371056289035298,0.00102149516207123,1.89075408631321e-05,-0.000162627070415786,0.00298124534405626,0.000646096854287215,0.000303420208121709,0.000417476254552366,8.94211404743162
"FREQBEGUP4",-0.000480725230701867,0.000582708925275608,0.000779298450524996,0.00360683431000988,0.00153065120326734,0.000756082607226279,-0.00204548668643925,0.00246712901421441,0.000872266396940761,10.0690586487378
"NUMINFLECTIONS4",0.000451473814469291,0.00189824374093222,-0.00214552911695602,0.00169272100239491,-1.27923494211324e-05,0.00322427422899829,0.000629589083046069,-0.00194931623526747,0.00050547693583523,13.9068551664316
"INFLSTDDEVDELTA4",0.00332389046246636,0.00115230091163718,0.000759924743918098,0.00132395247374344,-0.000116815480641459,0.000806159232258561,-0.00129256781463231,0.00300667385302738,0.00108544634969434,14.4700984168306
"INFLMAXMINDELTA4",0.00174217474737254,0.0010633234237776,0.000307080064694982,0.000974247864681647,0.000329449361763874,0.000839719141571189,-0.000597283912737882,0.0025481138816163,0.000855890430441678,17.4875873115919
"INFLMEANDELTA4",-0.000978756955454647,0.00187031466750213,0.0019379797227641,-0.00280210877267119,-0.00024915026540733,0.00322154041007633,0.00395360486584899,0.00222709984910003,0.00111770187362574,29.6965309497185
"FREQSLOPERATIO4",-0.00312286805232791,0.0014610503819579,-0.00117087661079014,0.00231663317818274,0.00115544933368859,0.00422591479024165,0.00251613921134535,0.000389391219166655,0.000942540241559351,33.6837542874128
"NUMSWEEPSFLATDWN4",-0.00311266904772926,0.00302465463159392,0.00246602404255634,0.00373465319617743,0.000838198440520077,0.0113313764544256,0.00179150100418639,0.0051601407114435,0.00312551138152093,33.7414433911401
"NUMSWEEPSFLATUP4",0.000578977149464439,0.00227905710098192,0.00870607463038631,0.00235623632102282,-0.00275079473247293,0.00972772385631467,0.00673337043635466,0.0194802097593643,0.0058345310974029,38.0033443021414
"FREQNEGSLOPEMEAN4",-0.00825269623740902,0.00529482536889685,0.0174532055736245,0.0108298084283107,0.00318044695807828,0.0146525608082729,0.0108454939531592,0.0259604290475653,0.0098790265276141,43.6980211206625
"FREQSPREAD4",0.00521043261958154,0.0154827416801382,0.00840141578244434,-0.000135331244221361,0.000454646129616727,0.000742560117752567,0.0136394317219215,0.00621015497163956,0.00616119060307571,45.4310071429674
"FREQCOFM4",-0.00129226010853045,0.0123721758711203,0.00758605696594145,0.00489832556924079,-0.00250918891877077,0.00578653412327054,0.0127025883286416,0.0165589312115576,0.00684520178837194,48.3420110020677
"FREQABSSLOPEMEAN4",0.00451520440212372,0.0149901466002052,0.0041766953949854,0.00732384488204867,-0.00151655766030582,0.00358996350835211,-0.00181736728196688,0.0120071497084709,0.00534103452280038,53.2983620434097
"FREQSLOPEMEAN4",0.00438064377001654,0.0187781139131883,0.00968498570943392,0.00648239602716176,0.00178381745561415,0.0109478163479289,0.0041083015904419,0.0108718190464471,0.00828424603509489,55.0433097592145
"FREQSWEEPDWNPERCENT4",-0.00200293524912804,0.00699112023360324,0.0193564397887218,0.00572702183408234,0.000199502562417315,0.00817666396519374,0.00677372768747376,0.0190783280725299,0.00790345831846963,55.5344513113985
"DURATION4",0.00121879596784843,0.00653807658712351,0.0065128206438635,0.00235016724225063,-0.00113693401937994,0.0091458887245405,0.00799945850970382,0.00497442761181785,0.00467938973284408,56.4759778911171
"FREQSWEEPFLATPERCENT4",0.00141516828493614,0.00779257073457792,0.0189828623905663,0.00711797095027057,0.0046466343997185,0.0133208211812543,0.0183669417577929,0.00855569785562094,0.00990303230863137,56.496142413526
"FREQPOSSLOPEMEAN4",0.0129447523051797,0.0149118760764159,0.0413611898408613,0.0248196313544342,-0.00259801793126647,0.0140536441401017,0.0230675738662478,0.0411719308638892,0.0209921876428747,62.0604463723105
"FREQQUARTER34",0.000594538828117941,0.044642732878986,0.0427893776473725,0.00706630009436881,0.00672554247151441,0.0511801632724415,0.0114156486538136,0.0384764294549218,0.0251302524289984,78.4057912485757
"REP5",6,6,6,6,6,6,6,6,6,6
"FREQSTEPDOWN5",0,5.39461617305929e-05,0,4.24682549794029e-05,0,0,0,-3.99201596806387e-05,6.03999490384703e-06,0.30504868806798
"FREQNUMSTEPS5",-0.000187871058528746,9.07276356378153e-05,-5.29828374139751e-05,-4.99001996007984e-05,4.43557329784875e-05,0,-9.23684545802013e-05,-0.000145729716000938,-4.81776266003827e-05,0.714983939585932
"NUMSWEEPSDWNUP5",0.000145445643473977,0.000236716957393252,-0.000101443730779647,0.000230503944471358,0.000118083958633642,0.000392344279604328,0.00015252889694869,-0.000220680779474971,0.00011458192173867,2.05714342602763
"FREQENDDWN5",0.000902642969200476,0.000116528920227457,0.000896150774543968,0.000195549378400399,0.000375674168045108,0.00445690326685776,0.00121613449915757,0.00306784842763423,0.0013928143094055,7.8034483676531
