"Pelagic","NWHI","MHI","MeanDecreaseAccuracy","MeanDecreaseGini"
"REP",1,1,1,1,1
"FREQSTEPDOWN",-1.59860513193497,0,0,-1.61744844761054,0.191542413760441
"FREQNUMSTEPS",-0.94505610106628,-1.22959561633479,0.42085519718069,-1.13487314742126,0.502582959473544
"NUMSWEEPSDWNUP",-1.67713666338353,-0.280678743548078,0.92753277519298,-0.509052362021388,3.06624781662719
"FREQENDDWN",-0.59454596310944,5.45877153143793,11.0706912333292,10.0954270817772,7.36855741537597
"FREQBEGUP",-4.42401713536659,5.47111101549315,7.54630281503868,5.67615206239494,8.10494995701757
"NUMSWEEPSUPDWN",2.82579166536408,2.51945643536318,1.61993485727182,4.29791324699962,8.32554684619731
"FREQBEGDWN",1.09745671104695,6.47879927146991,5.68325818118381,8.12834800140686,8.66891125697827
"FREQENDUP",2.65412313086842,8.13316954105347,-0.479481798962428,6.54094920354398,8.87546457253238
"NUMINFLECTIONS",1.74183087572903,8.02950017855326,5.02816572557068,9.65737504094158,15.7376583687527
"INFLSTDDEVDELTA",-1.80784559479631,7.02987916335438,1.15163456377782,4.63170481881228,18.6206655062662
"INFLMAXMINDELTA",1.21659578867528,8.47366935785011,3.4817663985158,8.52570185599482,21.7092736541461
"INFLMEANDELTA",0.501553040619,8.11656928876561,5.73860021561225,9.72983587274105,34.2637271409282
"NUMSWEEPSFLATDWN",-1.28925312856196,12.6728933763744,8.67444336026586,13.1843776212674,34.9817205182765
"FREQSLOPERATIO",-0.83464103806362,12.2082633278278,2.47048615994078,8.76913296996542,40.3498908107853
"NUMSWEEPSFLATUP",0.688299994249637,19.7244264215135,11.8336311966988,21.1613391796553,43.9904941184337
"FREQSPREAD",9.98171945549835,9.93326275156647,13.6017742998534,22.70793433543,55.2078617722301
"FREQNEGSLOPEMEAN",1.39870627793417,22.2078755830194,24.2460905859858,30.3064967221394,58.2968366151313
"FREQCOFM",12.4890312779905,3.74623029394918,16.970752125905,22.0206922585561,58.4521369083149
"FREQABSSLOPEMEAN",3.1106475549525,5.71475195317512,19.8831709706134,22.0192916870393,60.2433770685519
"FREQSWEEPDWNPERCENT",-3.62860904857344,13.4884625778903,19.8704607391468,20.7161873288385,60.5438837949208
"FREQSLOPEMEAN",3.75587517318692,8.51293805225806,19.7816722550503,23.082247399109,61.8270526631095
"DURATION",4.18314549308575,10.2755969606168,9.05772240098245,14.7168343563543,63.9298247128696
"FREQSWEEPFLATPERCENT",-0.865806052348303,15.3139774875453,23.9728169813727,26.7475690430367,67.5008699666035
"FREQPOSSLOPEMEAN",6.54205857294078,15.3307501877659,42.2876716973437,36.8723084647785,72.3364027189995
"FREQQUARTER3",17.443897171004,22.1262090141348,28.6511692463498,38.0726848121949,86.0018248226188
"REP1",2,2,2,2,2
"FREQSTEPDOWN1",-0.473111385837519,1.99705928279366,-1.00016665278009,0.652488810713658,0.185021677915946
"FREQNUMSTEPS1",2.62191361710134,3.86647060550094,-0.396326486758685,3.93394053451273,0.686736418292232
"NUMSWEEPSDWNUP1",1.32867003023605,0.674767907733442,0.75731275140048,1.63470025481446,3.338030698667
"FREQENDDWN1",2.58860427180037,3.52631092647885,13.628449693849,12.292421481717,6.73388731294521
"FREQENDUP1",1.10949748007592,11.070656398009,0.130282565352535,7.88526378560545,7.57445852846312
"FREQBEGDWN1",-0.403912543048968,3.02387266298756,9.59875083385655,8.32192253355601,7.66111162907929
"FREQBEGUP1",2.70482507691337,2.997198558188,10.1230595165417,9.70886314347797,7.68242795828203
"NUMSWEEPSUPDWN1",5.19242071148778,1.91221247168697,4.96065197203832,7.60258724736727,8.16777655014517
"NUMINFLECTIONS1",0.609929554410026,15.8542988282692,7.80286958303977,17.1101347551237,15.6638080914777
"INFLSTDDEVDELTA1",1.682845838379,8.01175718035075,2.71469964330218,7.79550547570591,16.3359304848654
"INFLMAXMINDELTA1",-0.33561820947274,14.4007127193906,4.86122402499365,12.1529408817196,19.7194807469154
"INFLMEANDELTA1",-2.73732193400881,20.6856668372605,10.2350343215493,19.0015619003637,34.256585768386
"NUMSWEEPSFLATDWN1",9.65289207626362,23.415019681429,19.6448745682904,33.5108135941928,37.3804474607428
"FREQSLOPERATIO1",-5.73284689004057,18.2894305294513,9.23064465352084,14.6894580379553,37.816648251938
"NUMSWEEPSFLATUP1",15.90030772609,29.968950454272,23.4107467690019,41.6835776129452,44.2296149325544
"FREQSPREAD1",15.0075821074975,9.16925278369217,29.1850674193446,36.3072705576163,49.3458557365324
"FREQCOFM1",23.2085603128612,4.91543877268758,30.2488352626747,40.0243889045199,56.1750478122172
"FREQSLOPEMEAN1",4.18111592985015,19.3742322334371,31.02077791156,38.2571036089439,57.6838718856624
"FREQABSSLOPEMEAN1",-1.39517206757534,11.8987367888755,32.1841346470674,34.4042818201067,58.3843553154911
"FREQSWEEPDWNPERCENT1",1.0002525894789,20.3735425217063,38.4960378238668,41.0001008338332,59.575640071531
"DURATION1",10.0308942431322,17.014614311651,21.2205927836996,29.4721643315842,63.0631363593892
"FREQNEGSLOPEMEAN1",20.0152402445105,47.360021989244,40.7640653906779,59.7215822922048,63.7728756033352
"FREQSWEEPFLATPERCENT1",24.7009722525892,22.1321081213286,49.2375106606444,61.8706848662932,73.5339494941438
"FREQPOSSLOPEMEAN1",27.4348504345782,35.6968430807051,67.7588992455031,69.6803984254157,77.9115304063059
"FREQQUARTER31",41.2337864313358,45.9772634740849,54.8767974785686,78.5574785493371,91.584739710569
"REP2",3,3,3,3,3
"FREQSTEPDOWN2",-1.9092747206115,1.03693869897513,-0.537088655688759,-1.35750106486796,0.289797646087727
"FREQNUMSTEPS2",-0.394525356307592,-1.47126594835027,0.799933282287692,-0.622565462135617,0.631997028812083
"NUMSWEEPSDWNUP2",0.0973069818223876,-1.5829290267433,2.3313589406156,0.570745897098143,3.15284314266883
"FREQBEGUP2",-5.11832159451424,2.88469510943414,5.11058597022415,1.73713793470613,7.94159299482281
"FREQENDDWN2",3.5764144001857,3.77896856432987,8.78046055403504,9.69883873565963,8.08807585288482
"FREQBEGDWN2",0.942800729741175,8.37620179364345,5.4767572997883,9.1857258806957,8.61063035615074
"NUMSWEEPSUPDWN2",5.67501774812173,0.516153414980522,4.32662896885672,6.3969301501435,9.00838703504847
"FREQENDUP2",4.33707969771165,16.4330599079912,-0.640146565139201,13.2078569140983,9.84039886096383
"NUMINFLECTIONS2",-2.7020455486375,14.9500835214069,1.94596477448928,9.47929152677626,16.2945325476211
"INFLSTDDEVDELTA2",2.46982149960586,4.72850986122967,8.52164368301815,10.103232755539,20.5292762285173
"INFLMAXMINDELTA2",-3.70101548342943,11.1292449712624,4.44226939593688,7.07441119009597,22.1439978234865
"NUMSWEEPSFLATDWN2",-0.201386774770892,20.1091614236565,11.4538405695712,21.2744913634429,37.0002362397451
"INFLMEANDELTA2",-1.61910853884548,13.654373543604,4.50192428397221,10.9554860452879,37.1240174816848
"FREQSLOPERATIO2",-3.19785220296365,12.724636676288,2.06927100729728,7.23810178287974,41.2437568983711
"NUMSWEEPSFLATUP2",-2.7334846849985,22.8202400718099,9.61872072875356,19.706498058693,42.1948563372261
"FREQSPREAD2",5.25652168570807,7.35490478080971,14.0836243106797,18.4040198196693,47.7864310784693
"FREQNEGSLOPEMEAN2",-5.60978166816049,24.5973149715327,26.7727161059413,29.0733324919643,56.6771973795897
"FREQSWEEPDWNPERCENT2",-9.95225556706725,17.4838060416303,19.7777928144432,19.9654213004437,58.3471386657886
"FREQABSSLOPEMEAN2",3.09876679344095,5.71003369336036,18.8580010534839,20.6157305699726,60.4822038220897
"FREQCOFM2",15.1853712305095,8.15859150418147,17.6006413310976,28.4174735653204,61.7624405860169
"FREQSLOPEMEAN2",3.17715645740923,16.4825930127845,21.0059623409507,27.7064155924771,63.8011852741261
"DURATION2",1.09517184628994,15.5812212588355,11.4830638326591,17.8739155132906,64.9404012645395
"FREQSWEEPFLATPERCENT2",-7.23059247540186,15.7745871069031,22.9962008605935,24.8968410076981,65.7925050223672
"FREQPOSSLOPEMEAN2",7.46294626584858,23.1083291731474,43.9655923924721,42.1999916782411,70.839153909435
