"EncounterID","agg_x","agg_y","new"
"M1",1,30,0.0333333333333333
"M2",27,27,1
"M3",22,22,1
"M4",21,21,1
"N1",0,19,0
"N2",11,24,0.458333333333333
"N3",14,25,0.56
"N4",11,32,0.34375
"P1",6,11,0.545454545454545
"P2",9,14,0.642857142857143
"P3",2,8,0.25
"P4",2,7,0.285714285714286
"P5",4,18,0.222222222222222
"P6",6,22,0.272727272727273
"P7",0,10,0
"P8",8,10,0.8
