"Pelagic","NWHI","MHI"
"P6",18,10,9
"P7",17,9,11
"P5",16,15,6
"P3",26,5,6
"N2",5,25,7
"N3",6,24,7
"N4",8,15,14
"N1",12,15,10
"M2",10,6,21
"M3",11,5,21
"M4",8,4,25
"M1",8,9,20
"accuracy",0,0,0
"rep",100,100,100
"P3",18,8,11
"P5",14,18,5
"P8",26,1,10
"P4",4,16,17
"N2",4,27,6
"N3",3,21,13
"N4",9,13,15
"N1",4,12,21
"M2",9,8,20
"M3",9,4,24
"M4",8,4,25
"M1",4,7,26
"accuracy",0,0,0
