"Pelagic","NWHI","MHI"
"N2",7,23,7
"N3",7,25,5
"N4",16,15,6
"N1",4,18,15
"M2",6,5,26
"M3",13,9,15
"M4",5,5,27
"M1",1,9,27
"accuracy",0,0,0
"rep",24,24,24
"P6",16,13,8
"P3",16,10,11
"P2",21,9,7
"P5",19,10,8
"N2",9,18,10
"N3",9,22,6
"N4",10,18,9
"N1",3,12,22
"M2",7,7,23
"M3",7,5,25
"M4",6,1,30
"M1",5,14,18
"accuracy",0,0,0
"rep",25,25,25
"P3",18,11,8
"P1",20,7,10
"P6",19,10,8
"P2",18,9,10
"N2",5,23,9
"N3",7,24,6
"N4",14,12,11
"N1",4,14,19
"M2",7,4,26
"M3",9,6,22
"M4",5,1,31
"M1",5,12,20
"accuracy",0,0,0
"rep",26,26,26
"P1",15,12,10
"P8",25,2,10
"P7",11,11,15
"P5",12,14,11
"N2",7,20,10
"N3",4,28,5
"N4",10,14,13
"N1",7,17,13
"M2",8,4,25
"M3",7,4,26
"M4",5,6,26
"M1",14,9,14
"accuracy",0,0,0
"rep",27,27,27
"P7",15,8,14
"P5",14,12,11
"P8",27,4,6
"P1",14,14,9
"N2",4,25,8
"N3",4,23,10
"N4",10,13,14
"N1",9,9,19
"M2",11,5,21
"M3",10,4,23
"M4",9,2,26
"M1",6,14,17
"accuracy",0,0,0
"rep",28,28,28
"P3",21,9,7
"P6",17,14,6
"P2",16,12,9
"P8",27,1,9
"N2",8,22,7
"N3",11,19,7
"N4",10,19,8
"N1",6,14,17
"M2",4,6,27
"M3",8,3,26
"M4",6,5,26
"M1",6,14,17
"accuracy",0,0,0
"rep",29,29,29
"P3",22,7,8
"P1",18,8,11
"P6",16,15,6
"P7",16,8,13
"N2",12,16,9
"N3",9,20,8
"N4",13,11,13
"N1",10,10,17
"M2",13,7,17
"M3",15,1,21
"M4",1,2,34
"M1",12,8,17
"accuracy",0,0,0
"rep",30,30,30
"P8",26,3,8
"P2",15,17,5
"P6",16,15,6
"P7",13,4,20
"N2",6,25,6
"N3",2,24,11
"N4",11,15,11
"N1",6,17,14
"M2",9,8,20
"M3",8,9,20
"M4",7,2,28
"M1",4,14,19
"accuracy",0,0,0
"rep",31,31,31
"P5",21,13,3
"P8",24,4,9
"P2",21,9,7
"P4",15,10,12
"N2",6,25,6
"N3",3,24,10
"N4",14,10,13
"N1",6,15,16
"M2",5,4,28
"M3",9,6,22
"M4",7,5,25
"M1",5,13,19
"accuracy",0,0,0
"rep",32,32,32
"P4",14,11,12
"P7",18,5,14
"P5",15,14,8
"P2",16,12,9
"N2",4,25,8
"N3",7,19,11
"N4",9,17,11
"N1",10,11,16
"M2",9,5,23
"M3",7,3,27
"M4",7,2,28
"M1",3,14,20
"accuracy",0,0,0
"rep",33,33,33
"P6",23,7,7
"P4",17,12,8
"P5",18,10,9
"P1",20,4,13
"N2",14,16,7
"N3",3,18,16
"N4",11,16,10
"N1",6,17,14
"M2",3,8,26
"M3",5,9,23
"M4",2,4,31
"M1",7,11,19
"accuracy",0,0,0
"rep",34,34,34
"P7",13,8,16
"P6",11,23,3
"P3",22,9,6
"P8",30,3,4
"N2",3,29,5
"N3",7,25,5
"N4",5,24,8
"N1",7,15,15
"M2",10,10,17
"M3",11,7,19
"M4",7,4,26
"M1",7,10,20
"accuracy",0,0,0
"rep",35,35,35
"P5",16,13,8
"P1",22,6,9
"P2",17,10,10
"P3",27,5,5
"N2",11,18,8
"N3",6,20,11
"N4",10,12,15
"N1",3,12,22
"M2",12,5,20
"M3",12,6,19
"M4",4,2,31
"M1",9,12,16
"accuracy",0,0,0
"rep",36,36,36
"P1",17,11,9
"P5",17,13,7
"P4",14,8,15
"P2",24,5,8
"N2",14,14,9
"N3",6,21,10
"N4",10,15,12
"N1",5,15,17
"M2",4,8,25
"M3",10,6,21
"M4",5,1,31
"M1",4,15,18
"accuracy",0,0,0
"rep",37,37,37
"P1",19,10,8
"P2",18,12,7
"P4",14,15,8
"P7",18,6,13
"N2",4,28,5
"N3",7,20,10
"N4",14,12,11
"N1",12,14,11
"M2",5,8,24
"M3",11,3,23
"M4",3,6,28
"M1",9,14,14
"accuracy",0,0,0
"rep",38,38,38
"P7",14,3,20
"P1",15,11,11
"P4",12,16,9
"P3",26,6,5
"N2",7,22,8
"N3",5,26,6
"N4",6,19,12
"N1",9,8,20
"M2",4,6,27
"M3",9,6,22
"M4",10,2,25
"M1",5,11,21
"accuracy",0,0,0
"rep",39,39,39
"P2",14,13,10
"P6",18,14,5
"P7",15,9,13
"P8",20,7,10
"N2",4,27,6
"N3",5,23,9
"N4",6,22,9
"N1",7,12,18
"M2",7,4,26
"M3",5,11,21
"M4",7,10,20
"M1",8,10,19
"accuracy",0,0,0
"rep",40,40,40
"P3",24,5,8
"P2",26,9,2
"P5",16,15,6
"P4",17,11,9
"N2",6,21,10
"N3",8,23,6
"N4",8,16,13
"N1",4,12,21
"M2",8,8,21
"M3",9,1,27
"M4",8,4,25
"M1",8,13,16
"accuracy",0,0,0
"rep",41,41,41
"P4",6,15,16
"P6",19,11,7
"P8",28,1,8
"P7",12,8,17
"N2",4,23,10
"N3",4,25,8
"N4",7,19,11
"N1",6,12,19
"M2",10,3,24
"M3",9,6,22
"M4",9,4,24
"M1",6,13,18
"accuracy",0,0,0
"rep",42,42,42
"P2",20,12,5
"P1",18,8,11
"P4",11,14,12
"P6",23,4,10
"N2",10,18,9
"N3",6,21,10
"N4",8,11,18
"N1",7,11,19
"M2",7,4,26
"M3",7,9,21
"M4",2,4,31
"M1",8,8,21
"accuracy",0,0,0
"rep",43,43,43
"P4",10,13,14
"P8",29,1,7
"P6",26,4,7
"P5",13,17,7
"N2",6,17,14
"N3",6,23,8
"N4",7,20,10
"N1",7,13,17
"M2",5,6,26
"M3",5,10,22
"M4",6,4,27
"M1",5,12,20
"accuracy",0,0,0
"rep",44,44,44
"P2",13,17,7
"P8",24,3,10
"P6",16,14,7
"P4",18,8,11
"N2",4,22,11
"N3",5,22,10
"N4",6,17,14
"N1",6,10,21
"M2",7,7,23
"M3",7,10,20
"M4",7,2,28
"M1",5,8,24
"accuracy",0,0,0
"rep",45,45,45
"P3",23,6,8
"P8",26,5,6
"P1",15,10,12
"P4",12,11,14
"N2",6,22,9
"N3",2,28,7
"N4",7,19,11
"N1",7,13,17
"M2",6,7,24
"M3",7,5,25
"M4",6,6,25
"M1",6,11,20
"accuracy",0,0,0
"rep",46,46,46
"P7",13,8,16
"P3",22,7,8
"P6",19,12,6
"P8",31,2,4
"N2",5,24,8
"N3",4,28,5
"N4",4,23,10
"N1",7,19,11
"M2",9,8,20
"M3",10,7,20
"M4",5,5,27
"M1",5,14,18
"accuracy",0,0,0
"rep",47,47,47
"P2",21,8,8
"P7",15,7,15
"P3",22,6,9
"P1",17,10,10
"N2",3,30,4
"N3",7,23,7
"N4",9,16,12
"N1",5,13,19
"M2",7,6,24
"M3",12,4,21
"M4",6,2,29
"M1",8,11,18
"accuracy",0,0,0
"rep",48,48,48
"P7",14,5,18
"P6",18,11,8
"P1",14,11,12
"P4",15,12,10
"N2",5,21,11
"N3",6,25,6
"N4",10,19,8
"N1",5,16,16
"M2",8,3,26
"M3",10,4,23
"M4",5,4,28
"M1",6,9,22
"accuracy",0,0,0
"rep",49,49,49
"P1",16,12,9
"P3",26,5,6
"P2",23,10,4
"P8",18,7,12
"N2",7,18,12
"N3",6,19,12
"N4",11,17,9
"N1",4,12,21
"M2",5,4,28
"M3",5,8,24
"M4",8,2,27
"M1",4,12,21
"accuracy",0,0,0
"rep",50,50,50
"P7",11,9,17
"P6",20,12,5
"P5",15,13,9
"P3",26,4,7
"N2",9,20,8
"N3",6,24,7
"N4",6,20,11
"N1",6,13,18
"M2",8,7,22
"M3",13,1,23
"M4",5,2,30
"M1",7,8,22
"accuracy",0,0,0
"rep",51,51,51
"P7",16,4,17
"P1",16,9,12
"P6",15,18,4
"P3",28,5,4
"N2",10,21,6
"N3",6,19,12
"N4",9,19,9
"N1",6,14,17
"M2",7,6,24
"M3",12,9,16
"M4",8,6,23
"M1",12,12,13
"accuracy",0,0,0
"rep",52,52,52
"P5",17,8,12
"P3",25,6,6
"P6",26,6,5
"P4",14,14,9
"N2",9,21,7
"N3",6,23,8
"N4",9,16,12
"N1",7,13,17
"M2",6,5,26
"M3",7,13,17
"M4",3,4,30
"M1",6,11,20
"accuracy",0,0,0
"rep",53,53,53
"P4",17,6,14
"P6",15,12,10
"P1",21,5,11
"P2",21,7,9
"N2",9,23,5
"N3",9,23,5
"N4",13,14,10
"N1",6,15,16
"M2",5,7,25
"M3",6,5,26
"M4",5,4,28
"M1",8,10,19
"accuracy",0,0,0
"rep",54,54,54
"P2",24,4,9
"P3",21,8,8
"P4",19,7,11
"P5",21,10,6
"N2",7,17,13
"N3",8,19,10
"N4",14,12,11
"N1",6,16,15
"M2",8,3,26
"M3",10,11,16
"M4",4,6,27
"M1",2,16,19
"accuracy",0,0,0
"rep",55,55,55
"P7",15,4,18
"P2",16,14,7
"P4",11,13,13
"P8",29,0,8
"N2",6,18,13
"N3",5,26,6
"N4",9,16,12
"N1",7,15,15
"M2",10,7,20
"M3",8,6,23
"M4",8,2,27
"M1",6,9,22
"accuracy",0,0,0
"rep",56,56,56
"P5",12,15,10
"P2",21,9,7
"P7",18,4,15
"P6",17,10,10
"N2",12,16,9
"N3",9,22,6
"N4",9,16,12
"N1",7,19,11
"M2",5,7,25
"M3",7,6,24
"M4",3,3,31
"M1",6,13,18
"accuracy",0,0,0
"rep",57,57,57
"P5",17,13,7
