"variable","statistic","p.value","comparison"
"Duration","0.111666666666667",0.0011266355394034,"NWHI-MHI"
"ThirdQuarterFreq","0.108333333333333",0.00174933513380504,"NWHI-MHI"
"FreqSpread","0.211666666666667",4.2312819914514e-12,"NWHI-MHI"
"CoeffFreqMod","0.215",1.80244708047894e-12,"NWHI-MHI"
"MeanPosSlope","0.253333333333333",0,"NWHI-MHI"
"MeanNegSlope","0.211666666666667",4.2312819914514e-12,"NWHI-MHI"
"PosNegSlopeRatio","0.0366666666666667",0.814708903659964,"NWHI-MHI"
"PctNegSlope","0.111666666666667",0.0011266355394034,"NWHI-MHI"
"PctZeroSlope","0.0866666666666667",0.0220703361020337,"NWHI-MHI"
"MaxMinInflTimeRatio","0.04",0.723151916623817,"NWHI-MHI"
"MeanTimeBtwnInfl","0.0266666666666667",0.983287245355652,"NWHI-MHI"
"SDTimeBtwnInfl","0.04",0.723151916623817,"NWHI-MHI"
"Duration","0.1375",5.39915700703553e-07,"Pelagic-MHI"
"ThirdQuarterFreq","0.160833333333333",2.05962535915205e-09,"Pelagic-MHI"
"FreqSpread","0.163333333333333",1.07701225715573e-09,"Pelagic-MHI"
"CoeffFreqMod","0.1425",1.76163583942568e-07,"Pelagic-MHI"
"MeanPosSlope","0.209166666666667",1.22124532708767e-15,"Pelagic-MHI"
"MeanNegSlope","0.1375",5.39915700703553e-07,"Pelagic-MHI"
"PosNegSlopeRatio","0.0675",0.0522418885646933,"Pelagic-MHI"
"PctNegSlope","0.0575",0.141959868878001,"Pelagic-MHI"
"PctZeroSlope","0.1375",5.39915700703553e-07,"Pelagic-MHI"
"MaxMinInflTimeRatio","0.095",0.00146360483718744,"Pelagic-MHI"
"MeanTimeBtwnInfl","0.115833333333333",4.35874319003604e-05,"Pelagic-MHI"
"SDTimeBtwnInfl","0.0825",0.00863567932008791,"Pelagic-MHI"
"Duration","0.13",2.68762455524207e-06,"Pelagic-NWHI"
"ThirdQuarterFreq","0.160833333333333",2.05962535915205e-09,"Pelagic-NWHI"
"FreqSpread","0.0808333333333333",0.010736832097724,"Pelagic-NWHI"
"CoeffFreqMod","0.115833333333333",4.35874319003604e-05,"Pelagic-NWHI"
"MeanSlope","0.1175",3.19335677956278e-05,"Pelagic-NWHI"
"AbsSlopeMean","0.0525",0.220205558701951,"Pelagic-NWHI"
"MeanPosSlope","0.0658333333333333",0.0624052779951965,"Pelagic-NWHI"
"MeanNegSlope","0.165",6.9517824830001e-10,"Pelagic-NWHI"
"PosNegSlopeRatio","0.0541666666666667",0.191101594308935,"Pelagic-NWHI"
"PctNegSlope","0.131666666666667",1.89604255773634e-06,"Pelagic-NWHI"
"PctZeroSlope","0.124166666666667",8.80015072901585e-06,"Pelagic-NWHI"
"MaxMinInflTimeRatio","0.075",0.0222179626165251,"Pelagic-NWHI"
"MeanTimeBtwnInfl","0.1025",0.000447491587436288,"Pelagic-NWHI"
"SDTimeBtwnInfl","0.0641666666666667",0.0742147165169883,"Pelagic-NWHI"
