"N2","N3","N4","N1","MeanDecreaseAccuracy","MeanDecreaseGini"
"REP",1,1,1,1,1,1
"FREQNUMSTEPS",0,0,0,0,0,0.0810890381628447
"NUMSWEEPSDWNUP",6.95619814072358,3.48838485926131,-0.840307936083608,-3.38473953781146,2.40717117277564,0.950978674123569
"FREQENDDWN",1.48795383195498,6.2328412718822,-0.464005567561199,7.83093350296925,8.13047744542187,2.54813331229049
"NUMSWEEPSUPDWN",-1.12947250048733,4.21315588139881,0.173170723267461,5.54004811696698,4.2866603818311,2.94621212215315
"FREQENDUP",6.60077773438887,11.0061989563236,-2.92763064344944,7.41286128955639,11.6413602937579,3.54576152058243
"FREQBEGUP",13.977880935963,6.69187040875873,7.33431494602301,8.35347115490187,18.0603500573001,3.93281763100775
"FREQBEGDWN",9.58401407200875,23.7671311235015,7.89248043641844,4.02317541074921,23.4679468192835,4.90148683263684
"INFLSTDDEVDELTA",8.76091232118828,25.8719618445036,-5.15047906478086,10.4726716884441,19.9258387209192,6.36913333278287
"NUMINFLECTIONS",11.1647808217462,24.8327315263059,-3.17334438773287,12.886598722794,22.7535882690086,6.75275481098689
"INFLMAXMINDELTA",3.67506502755319,28.135662383524,-6.06413792308718,20.9352724982539,24.9949405466281,8.83423528582617
"FREQSLOPERATIO",4.49020417722417,8.85659077178349,-6.04205152841606,16.8030821981631,13.3145735355372,14.4529310430337
"INFLMEANDELTA",20.6505911689278,40.9491492855794,3.29844989172707,6.36761083636674,39.2231863340156,15.811770620754
"NUMSWEEPSFLATDWN",10.3162466019222,26.3307879534283,0.52604510093673,36.9415329415559,40.4809525234262,17.0777114532504
"FREQSPREAD",23.2890086341262,20.1338873384582,-0.344838882751695,13.9345579215284,29.4260295007987,18.1733131265495
"NUMSWEEPSFLATUP",22.3592200139953,43.3006819750484,1.2964230416674,17.6733239295162,46.5131771344551,18.5574015256232
"FREQCOFM",16.5091898338015,18.4739143293813,0.842048723022086,12.0511723135324,25.0666921660372,19.9758585510327
"FREQNEGSLOPEMEAN",19.3040950046913,24.4336997217466,-2.89124248542606,43.9997592705957,40.9317458652097,19.9896297358263
"FREQSWEEPDWNPERCENT",14.7689276136671,30.6246328689679,5.46351945334524,15.2845274071262,35.0522460547447,21.3617560571968
"FREQPOSSLOPEMEAN",26.4065812131103,29.3353260250652,-9.44680710586738,45.7461503951255,46.3962474523491,23.4339283372501
"FREQSLOPEMEAN",22.0185437488022,42.9258870385666,9.0692786192263,19.6353799716427,49.0022989309119,24.1958526534039
"FREQABSSLOPEMEAN",35.5755128264231,24.869611915389,2.05525485639485,23.0462796919826,44.2896461627109,24.4848263732692
"FREQSWEEPFLATPERCENT",26.9447209680215,29.110636778377,-0.671926368330003,32.3986316371977,46.0771517057486,25.0255569895833
"DURATION",38.7806492365021,24.1732799065203,13.0909725017618,8.40688344302094,42.589815664137,26.0372296380603
"FREQQUARTER3",45.6334117493246,46.9243027695943,-1.18443085878156,17.4184796793944,54.9388708386151,27.8231734909121
"REP1",2,2,2,2,2,2
"FREQNUMSTEPS1",0,0,0,0,0,0.0667337784100879
"NUMSWEEPSDWNUP1",6.27098671356049,-1.26591149669706,1.1266700863277,-3.28252932318998,1.28133180367301,0.899307996739733
"NUMSWEEPSUPDWN1",2.80367271215052,2.96805154060107,3.34232764037832,3.54524126486371,6.38293914280886,3.10299975026074
"FREQBEGUP1",8.52005758345188,2.00377124905348,2.99919559188339,7.8908988980355,10.9873976394572,3.64768217421116
"FREQENDUP1",5.93291168053873,11.7001201309782,2.88448853251286,7.63197836205125,14.4004454748609,3.88212810606398
"FREQBEGDWN1",3.50326143991723,12.2577132535138,5.67225633208025,8.68402274181673,15.0399619432205,3.91564383747103
"FREQENDDWN1",2.5397418908928,14.2236946586297,-1.43802009206067,12.7852643212596,15.6022171818745,3.91679726958225
"NUMINFLECTIONS1",10.471880738213,13.0315484335456,-0.775025608735714,7.60259476445956,15.4245419245765,6.70817209922138
"INFLSTDDEVDELTA1",4.68073124872663,15.7185035617242,-3.63483737917563,13.7350593016072,15.7595950188608,6.9239817099151
"INFLMAXMINDELTA1",2.31328352363401,16.4858112136416,-1.12608050543119,15.0428421475652,17.7542336018979,8.25408617782228
"NUMSWEEPSFLATDWN1",8.14224075914948,8.75593360053039,-0.172505396802942,20.9989261189419,21.3268079309602,14.2513136836811
"INFLMEANDELTA1",12.38273570363,22.8940643974479,10.5914341772243,7.6944686138952,26.5868710186463,14.6551031109213
"FREQSLOPERATIO1",10.5391395667791,13.137614741875,1.49494596880768,14.7396697028784,20.7853800203195,16.0967464243272
"NUMSWEEPSFLATUP1",24.4375959924511,25.5517570018641,5.59953608202838,7.62504283254391,33.7969303322291,17.2955366053361
"FREQSPREAD1",21.726796427782,14.4592941026587,3.67400616110136,7.71264223692995,25.2387575694046,17.6678280117934
"FREQSWEEPDWNPERCENT1",13.9486441353747,20.9753356097135,1.01603161321385,10.1140646675173,24.6479636835236,20.6313790519987
"FREQNEGSLOPEMEAN1",21.2303940616261,16.0917862960943,-4.11170147607906,39.3740702253913,35.9231593571331,20.6334521986239
"FREQCOFM1",15.2776923566965,8.50727073477199,7.81127567696771,16.5739703369794,25.2712400832791,20.6534407703561
"FREQSLOPEMEAN1",11.7079888815658,22.4783829728637,4.89532579153312,10.3177562652537,26.2876850757113,22.2408669953662
"FREQABSSLOPEMEAN1",27.3706118144842,22.6033647066188,7.94226588886329,12.8890338852923,37.3243783307906,23.829961869588
"FREQPOSSLOPEMEAN1",28.7604912733454,24.0930388522013,4.67047400048381,37.5803077860495,45.3286444602814,25.6013997691659
"FREQSWEEPFLATPERCENT1",24.3806055137992,21.4348364699222,5.48829045698377,32.3818207821795,43.1024242561701,25.6561147038349
"FREQQUARTER31",35.5790020410686,41.200730762151,13.6109621449731,8.33754517603041,48.3369312540677,28.2750166582115
"DURATION1",37.6967222330523,16.207229395494,17.7417348600929,10.6607343039834,42.1262428203098,28.3045136721004
"REP2",3,3,3,3,3,3
"FREQNUMSTEPS2",0,0,0,-1.00099950049938,-1.00099950049938,0.0801310185053225
"NUMSWEEPSDWNUP2",0.602288645972041,1.40691552648504,0.512900965840677,1.0328107750264,1.56365186852487,1.20081618098029
"FREQENDDWN2",0.287531924264702,2.88075109233949,0.377865548182823,3.81671269238292,4.21539653124023,3.16932796089268
"NUMSWEEPSUPDWN2",1.5961561263078,2.60519897727697,-1.56491773130303,0.861364849874781,1.6893811763297,3.19895372593276
"FREQBEGUP2",4.27806346274153,1.5068542585451,0.805923134538885,2.07534211387036,4.43561230367228,3.62239765823948
"FREQBEGDWN2",3.9459542350204,4.33652147463643,2.34149917262829,3.23526057795349,6.68871429813917,3.67648507466289
"FREQENDUP2",4.27629244261343,5.45069033323901,0.133744050698579,2.96944148328868,6.62986233347461,4.44605071078724
"INFLSTDDEVDELTA2",-0.325556171280294,8.71330701969904,-0.866055003233705,5.7944662285177,6.83219646640924,6.36722281184643
"NUMINFLECTIONS2",4.0286515337795,7.59361287823785,1.63819301380189,7.45121506966597,10.3422115786094,7.53105239897491
