"Pelagic",219,109,124,0.515486725663717
"NWHI",107,220,125,0.513274336283186
"MHI",92,87,273,0.396017699115044
"",0.471897212952176,0.471897212952176,0.471897212952176,0.471897212952176
"Pelagic",252,99,101,0.442477876106195
"NWHI",99,221,132,0.511061946902655
"MHI",87,83,282,0.376106194690266
"",0.445082031476255,0.445082031476255,0.445082031476255,0.445082031476255
"Pelagic",197,98,157,0.564159292035398
"NWHI",86,233,133,0.484513274336283
"MHI",109,89,254,0.438053097345133
"",0.494439149426182,0.494439149426182,0.494439149426182,0.494439149426182
"Pelagic",254,104,94,0.438053097345133
"NWHI",85,239,128,0.471238938053097
"MHI",91,77,284,0.371681415929204
"",0.43079158715752,0.43079158715752,0.43079158715752,0.43079158715752
"Pelagic",250,96,106,0.446902654867257
"NWHI",84,225,143,0.502212389380531
"MHI",88,91,273,0.396017699115044
"",0.450274516696938,0.450274516696938,0.450274516696938,0.450274516696938
"Pelagic",245,92,115,0.457964601769911
"NWHI",92,224,136,0.504424778761062
"MHI",87,78,287,0.365044247787611
"",0.448128023181756,0.448128023181756,0.448128023181756,0.448128023181756
"Pelagic",245,104,103,0.457964601769911
"NWHI",96,221,135,0.511061946902655
"MHI",84,84,284,0.371681415929204
"",0.449253464064804,0.449253464064804,0.449253464064804,0.449253464064804
"Pelagic",242,109,101,0.464601769911504
"NWHI",91,223,138,0.506637168141593
"MHI",91,76,285,0.369469026548673
"",0.453938554528734,0.453938554528734,0.453938554528734,0.453938554528734
"Pelagic",242,96,114,0.464601769911504
"NWHI",91,230,131,0.491150442477876
"MHI",85,86,281,0.378318584070796
"",0.44841742157035,0.44841742157035,0.44841742157035,0.44841742157035
"Pelagic",239,98,115,0.471238938053097
"NWHI",96,218,138,0.517699115044248
"MHI",84,95,273,0.396017699115044
"",0.464863080658901,0.464863080658901,0.464863080658901,0.464863080658901
"Pelagic",231,115,106,0.488938053097345
"NWHI",95,226,131,0.5
"MHI",89,85,278,0.384955752212389
"",0.459762837530329,0.459762837530329,0.459762837530329,0.459762837530329
"Pelagic",237,103,112,0.475663716814159
"NWHI",92,225,135,0.502212389380531
"MHI",85,87,280,0.380530973451327
"",0.455915183440572,0.455915183440572,0.455915183440572,0.455915183440572
"Pelagic",233,105,114,0.484513274336283
"NWHI",85,224,143,0.504424778761062
"MHI",82,78,292,0.353982300884956
"",0.456255299689602,0.456255299689602,0.456255299689602,0.456255299689602
"Pelagic",216,103,133,0.52212389380531
"NWHI",96,221,135,0.511061946902655
"MHI",90,74,288,0.36283185840708
"",0.472094016505365,0.472094016505365,0.472094016505365,0.472094016505365
"Pelagic",235,93,124,0.480088495575221
"NWHI",83,241,128,0.466814159292035
"MHI",107,73,272,0.398230088495575
"",0.455426054577943,0.455426054577943,0.455426054577943,0.455426054577943
"Pelagic",221,101,130,0.511061946902655
"NWHI",93,217,142,0.519911504424779
"MHI",80,74,298,0.34070796460177
"",0.459890624891473,0.459890624891473,0.459890624891473,0.459890624891473
"Pelagic",253,103,96,0.440265486725664
"NWHI",106,211,135,0.533185840707965
"MHI",83,88,281,0.378318584070796
"",0.452920343240313,0.452920343240313,0.452920343240313,0.452920343240313
"Pelagic",210,111,131,0.535398230088496
"NWHI",113,209,130,0.537610619469027
"MHI",101,79,272,0.398230088495575
"",0.494602400639082,0.494602400639082,0.494602400639082,0.494602400639082
"Pelagic",232,127,93,0.486725663716814
"NWHI",117,197,138,0.564159292035398
"MHI",87,82,283,0.373893805309734
"",0.487703037886,0.487703037886,0.487703037886,0.487703037886
"Pelagic",235,100,117,0.480088495575221
"NWHI",89,228,135,0.495575221238938
"MHI",110,85,257,0.43141592920354
"",0.468381837671491,0.468381837671491,0.468381837671491,0.468381837671491
"Pelagic",254,83,115,0.438053097345133
"NWHI",79,242,131,0.464601769911504
"MHI",93,83,276,0.389380530973451
"",0.433990374560629,0.433990374560629,0.433990374560629,0.433990374560629
"Pelagic",215,117,120,0.524336283185841
"NWHI",103,218,131,0.517699115044248
"MHI",94,77,281,0.378318584070796
"",0.48138219452389,0.48138219452389,0.48138219452389,0.48138219452389
"Pelagic",205,120,127,0.54646017699115
"NWHI",102,207,143,0.542035398230089
"MHI",75,103,274,0.393805309734513
"",0.494880240204328,0.494880240204328,0.494880240204328,0.494880240204328
"Pelagic",253,109,90,0.440265486725664
"NWHI",103,219,130,0.515486725663717
"MHI",74,79,299,0.338495575221239
"",0.436962694351103,0.436962694351103,0.436962694351103,0.436962694351103
"Pelagic",240,110,102,0.469026548672566
"NWHI",104,204,144,0.548672566371681
"MHI",84,74,294,0.349557522123894
"",0.459192498102412,0.459192498102412,0.459192498102412,0.459192498102412
"Pelagic",224,106,122,0.504424778761062
"NWHI",101,229,122,0.493362831858407
"MHI",109,93,250,0.446902654867257
"",0.486368511822745,0.486368511822745,0.486368511822745,0.486368511822745
"Pelagic",224,103,125,0.504424778761062
"NWHI",97,229,126,0.493362831858407
"MHI",108,72,272,0.398230088495575
"",0.4649809950585,0.4649809950585,0.4649809950585,0.4649809950585
"Pelagic",244,109,99,0.460176991150443
"NWHI",101,214,137,0.526548672566372
"MHI",83,71,298,0.34070796460177
"",0.446246753767684,0.446246753767684,0.446246753767684,0.446246753767684
"Pelagic",209,102,141,0.537610619469027
"NWHI",94,231,127,0.488938053097345
"MHI",109,75,268,0.407079646017699
"",0.480478275762687,0.480478275762687,0.480478275762687,0.480478275762687
"Pelagic",239,107,106,0.471238938053097
"NWHI",85,240,127,0.469026548672566
"MHI",102,83,267,0.40929203539823
"",0.452666899608228,0.452666899608228,0.452666899608228,0.452666899608228
"Pelagic",221,117,114,0.511061946902655
"NWHI",98,217,137,0.519911504424779
"MHI",76,89,287,0.365044247787611
"",0.47128108541546,0.47128108541546,0.47128108541546,0.47128108541546
"Pelagic",196,115,141,0.566371681415929
"NWHI",110,203,139,0.550884955752212
"MHI",83,87,282,0.376106194690266
"",0.500054446832006,0.500054446832006,0.500054446832006,0.500054446832006
"Pelagic",222,112,118,0.508849557522124
"NWHI",108,209,135,0.537610619469027
"MHI",79,76,297,0.342920353982301
"",0.466005975965643,0.466005975965643,0.466005975965643,0.466005975965643
"Pelagic",248,88,116,0.451327433628319
"NWHI",78,249,125,0.449115044247788
"MHI",113,79,260,0.424778761061947
"",0.452228618145641,0.452228618145641,0.452228618145641,0.452228618145641
"Pelagic",235,109,108,0.480088495575221
"NWHI",118,204,130,0.548672566371681
"MHI",81,74,297,0.342920353982301
"",0.45725238935488,0.45725238935488,0.45725238935488,0.45725238935488
"Pelagic",225,93,134,0.502212389380531
"NWHI",110,202,140,0.553097345132743
"MHI",68,84,300,0.336283185840708
"",0.466071276061473,0.466071276061473,0.466071276061473,0.466071276061473
"Pelagic",198,103,151,0.561946902654867
"NWHI",89,236,127,0.47787610619469
"MHI",100,86,266,0.411504424778761
"",0.48926684356989,0.48926684356989,0.48926684356989,0.48926684356989
"Pelagic",197,120,135,0.564159292035398
"NWHI",90,236,126,0.47787610619469
"MHI",104,77,271,0.400442477876106
"",0.480049595268835,0.480049595268835,0.480049595268835,0.480049595268835
"Pelagic",230,104,118,0.491150442477876
"NWHI",88,234,130,0.482300884955752
"MHI",94,92,266,0.411504424778761
"",0.461462328500946,0.461462328500946,0.461462328500946,0.461462328500946
"Pelagic",216,122,114,0.52212389380531
"NWHI",106,218,128,0.517699115044248
"MHI",73,81,298,0.34070796460177
"",0.479019502477467,0.479019502477467,0.479019502477467,0.479019502477467
"Pelagic",230,87,135,0.491150442477876
"NWHI",84,236,132,0.47787610619469
"MHI",97,91,264,0.415929203539823
"",0.458421404463167,0.458421404463167,0.458421404463167,0.458421404463167
"Pelagic",221,107,124,0.511061946902655
"NWHI",105,219,128,0.515486725663717
"MHI",75,82,295,0.347345132743363
"",0.460447780413543,0.460447780413543,0.460447780413543,0.460447780413543
