"Pelagic","NWHI","MHI"
"P8",1905,831,964
"P4",1871,960,869
"P5",1835,893,972
"P1",1849,891,960
"N2",703,2145,852
"N3",603,2304,793
"N4",970,1615,1115
"N1",704,1341,1655
"M2",760,580,2360
"M3",882,611,2207
"M4",620,357,2723
"M1",659,1135,1906
